,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,11.82,11.29,1200.58,401.99,1377.45,13.29,9.88,1096.01,203.33,423.2
1,11.86,11.23,1237.16,401.6,1380.59,7.15,0.62,1114.23,205.47,420.46
2,11.89,11.26,1231.81,402.26,1383.15,7.05,0.69,1125.48,205.89,421.11
3,11.93,11.25,1225.42,402.68,1380.39,7.08,0.74,1110.79,206.54,423.55
4,12.06,11.28,1229.96,404.95,1382.5,7.04,0.38,1120.49,208.05,427.67
5,12.22,11.31,1238.5,407.76,1380.31,7.06,0.55,1134.81,208.85,433.49
6,12.44,11.31,1223.56,412.49,1379.64,7.06,0.55,1137.93,209.44,439.53
7,12.64,11.32,1227.92,419.45,1379.02,7.06,0.0,1130.29,210.66,447.74
8,12.84,11.37,1246.16,427.02,1382.48,7.08,0.53,1155.91,213.46,458.98
9,13.09,11.38,1246.58,435.72,1380.22,7.04,0.58,1165.63,215.84,468.2
10,13.35,11.41,1246.77,441.8,1382.1,7.05,0.0,1164.54,216.36,478.43
11,13.6,11.41,1242.02,447.18,1379.56,7.05,0.54,1159.48,218.98,488.91
12,13.89,11.43,1246.29,454.76,1380.89,7.05,0.31,1189.83,222.37,500.79
13,14.11,11.45,1242.22,460.17,1381.86,7.06,0.0,1197.06,226.12,512.46
14,14.41,11.48,1245.71,467.42,1385.28,7.05,0.0,1199.33,226.56,520.34
15,14.71,11.52,1248.01,472.6,1383.76,7.03,0.0,1211.45,228.11,532.04
16,15.0,11.57,1252.86,479.88,1387.64,7.04,0.0,1215.59,231.11,545.39
17,15.22,11.61,1250.97,485.93,1390.18,7.02,0.0,1215.95,233.27,555.79
18,15.44,11.66,1249.03,491.37,1394.27,7.02,0.0,1224.94,235.46,564.95
19,15.72,11.7,1250.15,496.77,1393.0,6.98,0.0,1231.4,237.99,575.15
20,16.0,11.71,1243.02,500.79,1395.97,7.09,0.8,1222.5,240.9,585.43
21,16.26,11.74,1259.16,503.36,1398.1,7.08,0.78,1218.8,242.76,596.08
22,16.48,11.78,1261.74,509.3,1397.35,7.12,0.86,1222.79,243.73,604.33
23,16.66,11.8,1254.79,513.44,1399.78,7.13,0.73,1229.63,245.49,613.07
24,16.87,11.84,1251.49,518.02,1401.24,7.1,0.53,1224.83,246.01,622.04
25,17.17,11.89,1252.12,519.13,1400.05,7.11,0.81,1219.97,247.31,631.15
26,17.32,11.93,1242.93,519.48,1400.37,7.11,0.0,1216.25,248.91,637.88
27,17.57,11.97,1240.26,524.26,1402.8,7.12,0.79,1230.53,248.82,646.45
28,17.7,11.97,1239.12,530.24,1401.93,7.12,0.8,1230.92,249.72,654.49
29,17.84,11.97,1236.55,531.56,1402.55,7.11,0.49,1219.03,251.05,661.5
30,17.97,11.99,1231.82,531.58,1398.52,7.11,0.54,1234.46,252.41,669.85
31,18.18,12.01,1234.9,531.99,1400.02,7.11,0.0,1227.92,252.63,673.74
32,18.25,12.03,1230.26,533.39,1399.58,7.08,0.85,1224.48,253.46,679.36
33,18.42,12.06,1222.08,534.44,1399.18,7.12,0.87,1224.8,253.07,682.96
34,18.55,12.1,1239.56,535.42,1400.02,7.13,0.79,1218.76,253.82,690.47
35,18.72,12.1,1242.75,538.0,1395.95,7.12,0.0,1213.29,254.75,694.42
36,18.8,12.11,1230.64,538.63,1399.47,7.13,0.55,1227.53,255.13,700.18
37,18.81,12.12,1224.57,539.84,1398.5,7.12,0.42,1233.63,254.89,706.04
38,18.94,12.15,1219.22,540.37,1398.59,7.08,0.4,1221.76,255.63,710.21
39,19.06,12.17,1241.43,541.73,1398.14,7.12,1.14,1213.34,254.83,713.23
40,19.13,12.16,1238.66,542.67,1400.48,7.14,0.94,1203.79,254.95,715.36
41,19.22,12.17,1232.96,542.36,1399.1,7.11,0.7,1213.24,255.28,717.62
42,19.22,12.16,1234.15,541.09,1397.77,7.12,0.96,1213.38,255.33,719.19
43,19.25,12.16,1238.72,540.75,1401.39,7.13,0.85,1217.99,255.34,723.76
44,19.31,12.2,1229.88,541.02,1402.84,7.13,0.81,1216.6,255.22,725.79
45,19.36,12.21,1236.79,542.53,1404.7,7.13,0.55,1212.27,256.53,727.35
46,19.39,12.24,1238.56,541.65,1404.02,7.12,0.65,1206.38,255.99,728.64
47,19.4,12.23,1234.04,541.54,1406.3,7.13,0.68,1222.15,256.13,731.09
48,19.43,12.24,1228.09,540.3,1404.8,7.14,0.67,1210.65,256.45,732.32
49,19.45,12.25,1232.47,538.32,1403.16,7.12,0.82,1212.81,255.71,734.06
50,19.47,12.25,1240.69,538.24,1407.44,7.11,0.89,1203.95,255.66,735.68
51,19.47,12.27,1233.03,535.65,1410.14,7.11,0.74,1210.46,255.3,736.66
