,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,18.8,20.0,3356.8,569.53,1792.32,14.45,4.97,3216.14,349.29,779.81
1,18.97,19.92,3468.3,569.7,1785.09,8.38,1.4,3055.35,346.98,776.58
2,19.15,19.99,3485.98,573.04,1790.84,8.2,1.03,3105.98,351.68,782.81
3,19.32,20.08,3544.35,580.8,1796.5,8.21,1.07,3220.26,356.91,794.4
4,19.9,20.3,3727.28,601.85,1815.04,8.27,1.09,3394.21,365.76,824.7
5,21.15,21.04,4409.54,658.6,1892.14,8.42,1.23,3973.48,401.46,885.66
6,22.36,21.65,4999.18,709.89,1948.55,8.58,1.3,4509.33,430.53,943.88
7,22.93,21.7,4827.37,725.0,1932.74,8.52,1.33,4521.1,435.85,982.53
8,22.6,20.83,3886.78,689.14,1830.07,8.23,0.96,3718.37,396.78,974.98
9,22.77,20.42,3405.94,685.89,1780.5,8.12,0.96,3355.18,382.18,997.29
10,23.38,20.31,3168.18,693.87,1748.93,8.04,1.08,3082.2,376.24,1030.73
11,24.02,20.31,2982.85,707.6,1730.11,7.97,1.14,2997.05,379.42,1075.34
12,25.37,20.8,3293.79,750.64,1769.53,8.1,1.18,3303.06,404.99,1148.95
13,26.13,20.75,3152.68,763.8,1756.03,8.05,1.26,3196.38,405.46,1194.28
14,27.52,21.26,3480.7,805.01,1795.78,8.12,1.19,3483.79,430.11,1270.89
15,28.61,21.57,3578.38,838.2,1811.06,8.18,1.35,3592.39,447.41,1336.36
16,29.78,21.89,3667.64,878.33,1840.44,8.23,1.12,3696.15,459.98,1409.15
17,30.8,22.06,3704.58,902.14,1848.91,8.24,1.35,3740.25,467.0,1467.63
18,31.72,22.16,3668.5,924.09,1859.75,8.26,0.0,3772.3,479.79,1526.71
19,32.05,21.96,3374.6,915.65,1824.66,8.19,1.15,3475.27,468.61,1554.49
20,33.42,22.48,3705.9,963.97,1866.64,8.31,1.34,3771.1,492.3,1633.74
21,34.13,22.54,3612.52,974.66,1860.89,8.31,1.13,3756.89,496.5,1679.22
22,36.09,23.6,4536.8,1062.13,1973.52,8.54,1.25,4575.22,551.63,1802.23
23,36.35,23.29,4173.62,1044.13,1930.99,8.47,1.19,4211.08,535.2,1814.75
24,37.49,23.78,4551.14,1088.28,1983.47,8.59,1.33,4662.88,563.4,1892.91
25,38.49,24.14,4784.14,1120.79,2012.33,8.73,1.5,4883.75,582.22,1958.52
26,38.18,23.51,4126.56,1075.73,1937.87,8.52,1.35,4228.94,543.7,1940.39
27,38.76,23.64,4160.14,1089.09,1944.04,8.54,1.36,4279.72,553.05,1992.2
28,39.51,23.88,4276.49,1110.65,1965.91,8.6,1.23,4396.92,561.98,2042.61
29,39.79,23.8,4110.94,1108.01,1950.8,8.55,1.02,4250.08,560.58,2069.72
30,39.6,23.36,3720.04,1077.98,1897.44,8.43,0.0,3836.91,538.56,2071.44
31,40.11,23.49,3747.64,1089.55,1906.68,8.44,1.38,3844.13,540.54,2110.38
32,40.37,23.46,3716.04,1087.79,1895.85,8.41,1.24,3792.83,540.79,2134.27
33,40.75,23.57,3719.92,1096.67,1903.09,8.43,1.19,3840.35,543.09,2169.83
34,41.25,23.79,3782.99,1111.99,1926.92,8.51,1.27,3905.63,554.5,2213.07
35,41.89,24.05,3942.39,1131.57,1954.95,8.53,1.26,4121.2,567.57,2258.04
36,42.02,24.0,3897.75,1123.76,1948.08,8.51,1.2,4053.67,564.6,2278.72
37,42.58,24.26,4115.44,1150.8,1976.02,8.64,1.31,4274.99,576.86,2321.13
38,43.47,24.75,4622.43,1194.57,2037.28,8.75,1.27,4668.75,609.51,2388.75
39,42.78,24.14,4021.12,1139.89,1966.06,8.56,1.14,4092.92,571.81,2350.19
40,42.7,24.03,3865.64,1131.41,1945.71,8.54,1.2,3935.76,563.41,2353.88
41,42.18,23.57,3489.65,1094.64,1895.9,8.43,1.31,3565.2,538.51,2331.64
42,42.21,23.54,3417.33,1090.34,1890.09,8.35,0.0,3497.52,534.47,2345.03
43,42.38,23.63,3470.9,1096.18,1897.3,8.41,1.16,3530.03,538.89,2364.84
44,42.26,23.44,3296.36,1082.3,1884.91,8.39,1.19,3412.26,531.64,2367.55
45,42.65,23.75,3510.23,1103.11,1916.02,8.43,1.14,3591.98,544.43,2402.8
46,42.35,23.48,3350.45,1082.28,1888.72,8.36,1.27,3400.25,531.9,2386.46
47,42.34,23.46,3283.57,1077.1,1886.7,8.38,0.95,3357.64,528.57,2393.83
48,42.32,23.48,3281.86,1076.18,1890.11,8.33,1.04,3396.89,528.98,2401.25
49,42.36,23.46,3256.79,1072.71,1888.99,8.42,1.12,3348.6,528.19,2403.22
50,42.32,23.47,3285.05,1071.73,1892.91,8.42,1.23,3367.84,527.37,2406.91
51,42.26,23.44,3255.33,1066.84,1893.13,8.39,0.98,3348.29,526.53,2406.22
52,42.27,23.49,3286.43,1068.02,1903.21,8.46,1.11,3375.19,527.51,2415.46
53,42.34,23.59,3342.68,1070.69,1916.73,8.47,0.95,3374.92,529.53,2425.43
54,42.41,23.64,3412.08,1072.3,1925.34,8.49,1.22,3425.83,531.08,2429.86
55,42.29,23.64,3423.1,1066.33,1924.87,8.48,1.22,3404.58,530.44,2425.98
56,42.15,23.52,3362.89,1058.66,1921.85,8.48,1.33,3393.5,527.29,2422.36
57,42.02,23.48,3369.2,1055.36,1923.5,8.47,1.11,3375.67,526.58,2417.07
58,41.89,23.46,3317.55,1050.97,1924.12,8.5,1.23,3369.82,524.97,2414.39
59,41.75,23.39,3276.18,1043.52,1917.98,8.49,1.11,3334.24,522.61,2405.67
60,41.68,23.36,3283.16,1041.01,1921.03,8.46,1.1,3325.06,521.41,2406.22
61,41.59,23.37,3268.18,1036.33,1923.59,8.47,1.21,3341.5,520.8,2405.06
62,41.53,23.36,3297.67,1037.22,1929.43,8.52,1.12,3367.09,522.37,2401.35
63,41.34,23.31,3282.63,1029.19,1925.28,8.49,1.05,3317.5,517.57,2394.16
64,41.18,23.3,3261.02,1022.33,1921.82,8.49,0.9,3295.32,514.4,2385.91
