,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,15.31,3.26,3273.6,95.13,1764.0,8.4,11.02,329.49,36.36,126.0,34.7,15.0,0.1399999999999988,0.010000000000000231,-1464.79,0.28000000000000114,-5.980000000000018,-0.20000000000000107,-0.129999999999999,9.300000000000011,-0.28000000000000114,0.6299999999999955,0.0,0.0
1,15.45,3.27,1808.81,95.41,1758.02,8.2,10.89,338.79,36.08,126.63,34.7,15.0,0.2999999999999998,-0.004999999999999893,-732.7299999999999,0.7349999999999994,-4.779999999999973,-0.1200000000000001,0.08499999999999996,5.5,-0.254999999999999,0.7449999999999974,0.0,0.0
2,15.91,3.25,1808.14,96.6,1754.44,8.16,11.19,340.49,35.85,127.49,34.7,15.0,0.3849999999999998,0.004999999999999893,14.480000000000018,1.2550000000000026,-2.409999999999968,-0.019999999999999574,0.14499999999999957,1.5149999999999864,0.13500000000000156,2.3400000000000034,0.0,0.0
3,16.22,3.28,1837.77,97.92,1753.2,8.16,11.18,341.82,36.35,131.31,34.7,15.0,0.33000000000000007,0.014999999999999902,8.80499999999995,1.5900000000000034,-3.175000000000068,-0.04499999999999993,0.0,4.090000000000003,0.18999999999999773,2.4550000000000054,0.0,0.0
4,16.57,3.28,1825.75,99.78,1748.09,8.07,11.19,348.67,36.23,132.4,34.7,15.0,0.3000000000000007,-0.004999999999999893,-12.649999999999977,1.4450000000000003,0.5099999999999909,0.0,0.020000000000000462,6.164999999999992,0.19500000000000028,0.8449999999999989,0.0,0.0
5,16.82,3.27,1812.47,100.81,1754.22,8.16,11.22,354.15,36.74,133.0,34.7,15.0,0.20999999999999908,-0.010000000000000009,-32.25,0.4200000000000017,5.605000000000018,0.040000000000000036,-0.02999999999999936,3.8899999999999864,0.39000000000000057,1.1550000000000011,0.0,-0.5
6,16.99,3.26,1761.25,100.62,1759.3,8.15,11.13,356.45,37.01,134.71,34.7,14.0,0.1899999999999995,0.020000000000000018,13.129999999999995,0.15500000000000114,7.605000000000018,0.0,0.034999999999999254,4.200000000000017,0.41000000000000014,2.3149999999999977,0.0,-0.5
7,17.2,3.31,1838.73,101.12,1769.43,8.16,11.29,362.55,37.56,137.63,34.7,14.0,0.16999999999999993,0.025000000000000133,5.5,1.0349999999999966,5.2549999999999955,0.0,0.10999999999999943,3.780000000000001,0.240000000000002,2.6799999999999926,0.0,0.5
8,17.33,3.31,1772.25,102.69,1769.81,8.15,11.35,364.01,37.49,140.07,34.7,15.0,0.11000000000000121,-0.0050000000000001155,-7.0750000000000455,1.1199999999999974,4.144999999999982,0.004999999999999893,0.07000000000000028,2.894999999999982,0.2749999999999986,2.394999999999996,0.0,0.5
9,17.42,3.3,1824.58,103.36,1777.72,8.17,11.43,368.34,38.11,142.42,34.7,15.0,0.09500000000000064,-0.010000000000000009,24.5,0.9050000000000011,6.285000000000082,0.01499999999999968,0.07500000000000018,0.4650000000000034,0.41999999999999815,2.5799999999999983,0.0,0.0
10,17.52,3.29,1821.25,104.5,1782.38,8.18,11.5,364.94,38.33,145.23,34.7,15.0,0.08499999999999908,0.0,14.180000000000064,1.0450000000000017,3.965000000000032,0.009999999999999787,0.040000000000000036,-1.3699999999999761,0.1700000000000017,2.9200000000000017,0.0,0.0
11,17.59,3.3,1852.94,105.45,1785.65,8.19,11.51,365.6,38.45,148.26,34.7,15.0,0.120000000000001,0.010000000000000009,12.519999999999982,1.1450000000000031,3.4599999999999227,0.020000000000000462,0.025000000000000355,2.0999999999999943,0.10999999999999943,2.480000000000004,0.0,0.0
12,17.76,3.31,1846.29,106.79,1789.3,8.22,11.55,369.14,38.55,150.19,34.7,15.0,0.16500000000000092,0.015000000000000124,22.514999999999986,1.0399999999999991,2.824999999999932,0.03500000000000014,0.004999999999999893,1.7449999999999761,0.22499999999999787,2.3299999999999983,0.0,0.0
13,17.92,3.33,1897.97,107.53,1791.3,8.26,11.52,369.09,38.9,152.92,34.7,15.0,0.11499999999999844,0.010000000000000009,1.080000000000041,0.7999999999999972,1.2749999999999773,0.009999999999999787,0.004999999999999893,1.0,0.22500000000000142,2.5799999999999983,0.0,0.0
14,17.99,3.33,1848.45,108.39,1791.85,8.24,11.56,371.14,39.0,155.35,34.7,15.0,0.054999999999999716,0.0,-20.355000000000018,1.25,2.9500000000000455,-0.01499999999999968,-0.05999999999999961,0.7700000000000102,0.08999999999999986,1.8700000000000045,0.0,0.0
15,18.03,3.33,1857.26,110.03,1797.2,8.23,11.4,370.63,39.08,156.66,34.7,15.0,0.03500000000000014,0.0,-10.040000000000077,0.8900000000000006,5.8799999999999955,0.009999999999999787,-0.06500000000000039,3.0999999999999943,-0.054999999999999716,1.3900000000000006,0.0,0.0
16,18.06,3.33,1828.37,110.17,1803.61,8.26,11.43,377.34,38.89,158.13,34.7,15.0,0.03999999999999915,0.004999999999999893,25.460000000000036,0.5700000000000003,7.2450000000000045,0.02999999999999936,0.0699999999999994,1.9749999999999943,0.03999999999999915,2.180000000000007,0.0,0.0
17,18.11,3.34,1908.18,111.17,1811.69,8.29,11.54,374.58,39.16,161.02,34.7,15.0,0.07500000000000107,0.004999999999999893,17.110000000000014,0.644999999999996,3.3950000000000955,0.020000000000000462,0.04499999999999993,-0.17499999999998295,0.16499999999999915,3.3900000000000006,0.0,0.0
18,18.21,3.34,1862.59,111.46,1810.4,8.3,11.52,376.99,39.22,164.91,34.7,15.0,0.125,0.0,10.865000000000009,0.6550000000000011,0.4900000000000091,0.015000000000000568,0.0600000000000005,2.390000000000015,0.08500000000000085,2.655000000000001,0.0,0.0
19,18.36,3.34,1929.91,112.48,1812.67,8.32,11.66,379.36,39.33,166.33,34.7,15.0,0.10500000000000043,0.0,10.825000000000045,0.6650000000000063,6.409999999999968,0.024999999999999467,-0.02999999999999936,1.8050000000000068,0.16499999999999915,1.3700000000000045,0.0,0.0
20,18.42,3.34,1884.24,112.79,1823.22,8.35,11.46,380.6,39.55,167.65,34.7,15.0,0.0600000000000005,0.0,4.564999999999941,0.15500000000000114,6.384999999999991,0.03000000000000025,-0.11500000000000021,1.4000000000000057,0.18500000000000227,2.5999999999999943,0.0,0.0
21,18.48,3.34,1939.04,112.79,1825.44,8.38,11.43,382.16,39.7,171.53,34.7,15.0,0.02999999999999936,0.0050000000000001155,-9.284999999999968,-0.035000000000003695,6.595000000000027,0.004999999999999893,-0.025000000000000355,0.08499999999997954,0.08000000000000185,3.0150000000000006,0.0,0.0
22,18.48,3.35,1865.67,112.72,1836.41,8.36,11.41,380.77,39.71,173.68,34.7,15.0,0.025000000000000355,0.010000000000000009,-3.2649999999999864,0.2949999999999946,7.5,-0.010000000000000675,0.20000000000000018,1.8199999999999932,0.054999999999999716,1.8700000000000045,0.0,0.0
23,18.53,3.36,1932.51,113.38,1840.44,8.36,11.83,385.8,39.81,175.27,34.7,15.0,0.049999999999998934,0.010000000000000009,14.019999999999982,0.5249999999999986,4.409999999999968,0.0,0.21999999999999975,-0.6499999999999773,0.125,1.7299999999999898,0.0,0.0
24,18.58,3.37,1893.71,113.77,1845.23,8.36,11.85,379.47,39.96,177.14,34.7,15.0,0.049999999999998934,0.0,14.299999999999955,0.41499999999999915,3.9850000000000136,0.020000000000000462,0.04499999999999993,-1.125,0.21499999999999986,2.7349999999999994,0.0,0.0
25,18.63,3.36,1961.11,114.21,1848.41,8.4,11.92,383.55,40.24,180.74,34.7,15.0,0.0600000000000005,-0.010000000000000009,17.404999999999973,0.45000000000000284,1.9600000000000364,0.015000000000000568,0.020000000000000462,3.8899999999999864,0.17999999999999972,2.805000000000007,0.0,0.0
26,18.7,3.35,1928.52,114.67,1849.15,8.39,11.89,387.25,40.32,182.75,34.7,15.0,0.06500000000000128,0.0050000000000001155,-2.8599999999999,0.6900000000000048,-0.13999999999998636,-0.009999999999999787,-0.03500000000000014,2.3149999999999977,0.2799999999999976,1.7749999999999915,0.0,0.0
27,18.76,3.37,1955.39,115.59,1848.13,8.38,11.85,388.18,40.8,184.29,34.7,15.0,0.10500000000000043,0.010000000000000009,21.06000000000006,1.3200000000000003,1.669999999999959,-0.015000000000000568,-0.03000000000000025,0.7649999999999864,0.46000000000000085,2.2849999999999966,0.0,0.0
28,18.91,3.37,1970.64,117.31,1852.49,8.36,11.83,388.78,41.24,187.32,34.7,15.0,0.09999999999999964,0.004999999999999893,19.029999999999973,1.3549999999999969,3.3799999999999955,-0.010000000000000675,-0.019999999999999574,2.905000000000001,0.375,3.030000000000001,0.0,0.0
29,18.96,3.38,1993.45,118.3,1854.89,8.36,11.81,393.99,41.55,190.35,34.7,15.0,0.04499999999999993,0.014999999999999902,-12.785000000000082,0.769999999999996,3.205000000000041,0.03500000000000014,0.03500000000000014,-0.714999999999975,0.15499999999999758,2.4150000000000063,0.0,0.0
30,19.0,3.4,1945.07,118.85,1858.9,8.43,11.9,387.35,41.55,192.15,34.7,15.0,0.03500000000000014,0.010000000000000009,28.019999999999868,0.509999999999998,3.534999999999968,0.040000000000000036,0.07500000000000018,-1.8149999999999977,0.22500000000000142,1.5550000000000068,0.0,0.0
31,19.03,3.4,2049.49,119.32,1861.96,8.44,11.96,390.36,42.0,193.46,34.7,15.0,0.019999999999999574,0.010000000000000009,20.629999999999995,0.39000000000000057,3.8799999999999955,-0.024999999999999467,-0.015000000000000568,2.234999999999985,0.28000000000000114,1.5799999999999983,0.0,0.0
32,19.04,3.42,1986.33,119.63,1866.66,8.38,11.87,391.82,42.11,195.31,34.7,15.0,0.004999999999999005,0.010000000000000009,-19.864999999999895,0.39000000000000057,4.735000000000014,-0.004999999999999893,-0.010000000000000675,0.5900000000000034,0.125,2.0600000000000023,0.0,0.0
33,19.04,3.42,2009.76,120.1,1871.43,8.43,11.94,391.54,42.25,197.58,34.7,15.0,0.0,0.0,-0.5449999999999591,0.41499999999999915,6.584999999999923,0.009999999999999787,0.020000000000000462,0.4650000000000034,0.09499999999999886,1.7000000000000028,0.0,0.0
34,19.04,3.42,1985.24,120.46,1879.83,8.4,11.91,392.75,42.3,198.71,34.7,15.0,0.054999999999999716,0.0,5.060000000000059,0.12000000000000455,5.059999999999945,0.004999999999999893,0.010000000000000675,0.06999999999999318,0.1700000000000017,1.2949999999999875,0.0,0.0
