,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,11.05,9.74,9234.08,430.21,1402.73,7.23,0.0,872.48,227.09,545.14
1,11.07,9.75,9213.08,431.56,1399.95,7.13,0.0,875.78,226.88,547.56
2,11.15,9.75,9271.16,433.05,1402.77,7.13,0.8,877.45,227.38,549.95
3,11.24,9.77,9309.0,436.15,1401.25,7.11,0.65,881.38,228.37,552.28
4,11.32,9.75,9329.39,438.07,1404.04,7.14,0.43,880.36,230.84,555.23
5,11.37,9.78,9064.46,440.03,1404.94,7.12,0.0,891.1,232.04,557.36
6,11.45,9.8,9197.17,441.02,1406.1,7.09,0.0,904.55,233.82,560.42
7,11.5,9.83,9121.74,443.96,1405.88,7.09,0.62,910.57,236.13,563.23
8,11.58,9.87,9088.71,446.1,1408.59,7.05,0.0,907.93,237.07,564.92
9,11.62,9.87,8902.12,449.28,1408.29,7.08,0.0,915.09,238.89,567.49
10,11.69,9.89,9305.35,451.81,1407.55,7.07,0.0,927.62,241.58,570.36
11,11.78,9.92,9344.06,456.03,1410.43,7.04,0.0,916.82,242.54,573.42
12,11.81,9.93,9255.74,457.34,1412.52,7.07,0.0,926.92,244.25,576.49
13,11.86,9.93,9567.94,460.41,1416.98,7.09,0.0,926.17,246.58,579.62
14,11.89,9.94,9580.9,463.36,1417.39,7.04,0.0,944.24,248.37,582.78
15,11.95,9.99,9943.84,467.73,1420.77,7.07,0.0,956.68,250.23,585.32
16,11.97,9.99,10046.36,469.21,1420.27,7.04,0.0,964.18,251.11,587.85
17,11.97,10.01,9664.67,470.92,1422.73,7.03,0.0,962.22,253.04,591.01
18,11.99,10.04,9618.47,474.32,1424.9,7.04,0.0,971.03,254.05,592.99
19,12.05,10.04,9734.84,477.58,1426.7,7.03,0.0,991.79,255.34,595.61
20,12.16,10.07,9884.79,480.8,1431.89,7.06,0.0,978.5,255.45,597.13
21,12.17,10.1,9750.11,485.01,1433.48,7.09,0.0,985.29,256.6,598.6
22,12.23,10.13,10314.71,489.09,1437.6,7.13,0.0,1000.07,259.03,602.69
23,12.23,10.17,10412.25,491.77,1438.98,7.22,0.0,1020.02,260.23,604.97
24,12.29,10.21,10756.85,494.78,1443.51,7.31,0.83,1017.42,261.21,607.78
25,12.34,10.25,10657.52,497.24,1445.73,7.32,0.59,1030.5,263.28,610.51
26,12.38,10.29,10807.21,499.66,1448.43,7.32,0.77,1036.72,264.88,612.48
27,12.42,10.29,10578.95,500.88,1452.8,7.3,0.51,1047.96,267.41,614.34
28,12.48,10.31,10805.95,503.02,1456.43,7.3,0.54,1056.49,270.62,615.57
29,12.54,10.33,10831.75,506.16,1461.19,7.28,0.0,1083.19,274.55,618.79
30,12.57,10.38,10725.58,510.15,1461.72,7.16,0.0,1086.34,276.0,622.78
31,12.59,10.39,10320.57,510.23,1464.01,7.21,0.0,1102.11,278.06,624.58
32,12.62,10.41,11295.72,514.14,1466.18,7.33,0.9,1090.38,279.23,627.51
33,12.64,10.45,11660.52,518.02,1468.81,7.31,1.07,1095.73,281.15,629.4
34,12.68,10.45,11365.06,519.98,1474.56,7.3,0.62,1097.58,283.78,632.35
35,12.7,10.48,11502.36,522.67,1480.41,7.32,0.41,1105.14,286.22,635.03
36,12.79,10.56,11491.79,527.92,1486.02,7.33,0.0,1136.96,287.88,638.02
37,12.82,10.64,12214.27,532.41,1492.79,7.33,0.0,1179.25,290.83,641.93
38,12.86,10.68,12088.6,534.36,1502.8,7.35,0.96,1193.32,292.16,645.34
39,12.9,10.72,12122.42,539.84,1508.07,7.38,0.67,1216.98,294.65,647.71
40,12.93,10.71,12301.03,543.11,1509.06,7.37,0.57,1221.96,295.52,648.64
41,12.97,10.76,12311.64,544.72,1511.66,7.38,1.23,1223.38,295.95,649.47
42,12.98,10.77,12663.54,546.52,1511.84,7.37,0.0,1238.86,297.05,651.37
43,13.0,10.79,11784.42,547.24,1513.02,7.4,0.51,1235.8,299.54,651.94
44,13.05,10.81,12070.92,549.28,1514.25,7.39,0.76,1245.25,300.24,655.43
45,13.02,10.81,12848.34,549.89,1515.04,7.43,0.0,1239.15,299.93,656.03
46,13.11,10.84,12355.33,552.03,1514.05,7.43,0.7,1257.96,300.55,657.54
47,13.06,10.86,12242.59,552.86,1515.7,7.41,0.4,1267.72,300.9,658.16
48,13.05,10.84,12219.23,550.9,1509.13,7.4,0.42,1254.95,300.12,655.81
49,12.98,10.81,12310.33,545.17,1496.88,7.39,1.38,1225.51,299.21,649.59
50,13.04,10.89,13265.78,554.31,1512.46,7.38,0.95,1269.81,302.3,659.35
51,13.06,10.93,12735.94,558.21,1517.79,7.43,0.72,1280.24,305.72,663.76
52,13.07,10.91,12831.72,556.86,1516.5,7.38,1.12,1254.44,303.96,662.09
53,13.06,10.92,12722.85,557.84,1517.74,7.4,0.82,1268.35,305.23,663.3
54,13.06,10.93,12818.69,559.79,1516.51,7.42,0.56,1282.17,305.92,663.33
55,13.09,10.96,13061.2,559.55,1517.2,7.44,0.88,1270.25,307.47,666.08
56,13.06,10.94,12927.25,559.84,1516.83,7.41,0.74,1268.74,308.27,665.74
57,13.1,10.95,13101.05,561.3,1518.61,7.42,0.68,1281.8,309.63,668.75
58,13.09,10.99,12942.43,563.29,1520.28,7.44,0.82,1284.02,311.06,668.93
59,13.07,11.0,13033.39,562.78,1517.81,7.43,0.88,1274.44,310.64,670.2
60,13.1,10.98,12986.62,561.76,1518.66,7.43,0.76,1269.63,311.12,669.87
61,13.06,11.01,13194.08,562.11,1517.26,7.42,0.82,1263.9,311.73,669.52
62,13.08,11.02,13120.84,564.47,1519.57,7.44,0.7,1284.12,312.93,670.72
63,13.06,11.05,13335.63,565.59,1521.32,7.42,0.88,1291.7,313.09,672.27
64,13.07,11.06,13202.76,564.76,1522.85,7.43,0.81,1296.11,313.86,671.58
65,13.07,11.08,13487.38,567.77,1522.26,7.45,0.96,1302.2,314.19,672.51
66,13.03,11.09,13284.1,569.13,1522.66,7.48,0.79,1294.27,316.01,673.56
67,13.06,11.11,13347.27,571.0,1524.02,7.43,0.83,1320.43,315.23,675.51
68,13.06,11.13,13398.6,571.71,1524.94,7.45,0.77,1312.63,316.47,675.44
69,13.07,11.13,13505.38,571.67,1525.2,7.45,0.83,1329.01,317.0,675.8
70,13.06,11.13,13517.98,571.49,1525.3,7.49,1.25,1322.2,317.56,676.93
71,13.07,11.14,13410.12,572.41,1528.08,7.43,0.83,1333.25,319.58,678.46
72,13.09,11.14,13357.45,574.14,1530.68,7.46,0.75,1340.86,319.58,678.91
73,13.11,11.16,13838.96,577.36,1534.07,7.46,1.09,1342.12,321.2,680.22
74,13.13,11.17,13556.05,577.99,1534.9,7.51,0.94,1346.04,321.72,681.17
75,13.15,11.16,13668.54,579.5,1536.44,7.46,1.05,1342.45,322.0,681.95
76,13.24,11.27,13666.83,583.49,1545.92,7.49,0.71,1363.52,323.09,685.67
77,13.25,11.29,13659.68,584.68,1544.04,7.47,0.79,1377.78,323.6,687.85
78,13.26,11.31,13851.3,584.16,1546.2,7.47,0.86,1380.21,324.44,688.79
79,13.26,11.3,14052.11,584.87,1546.99,7.52,1.0,1377.12,326.45,689.17
80,13.26,11.3,13943.46,585.08,1547.83,7.51,0.86,1374.92,324.68,688.57
81,13.24,11.33,13769.18,585.17,1545.24,7.47,0.87,1373.89,326.41,688.55
82,13.24,11.3,13856.01,583.98,1546.8,7.5,1.06,1386.37,325.36,688.11
83,13.21,11.32,13882.45,584.1,1546.37,7.48,0.9,1366.96,325.28,687.73
84,13.21,11.31,14032.53,584.55,1545.84,7.47,0.83,1370.65,324.72,687.44
85,13.23,11.33,14053.03,585.05,1548.97,7.52,1.02,1373.42,326.15,688.5
86,13.27,11.36,13910.37,585.08,1551.31,7.52,0.96,1394.16,327.45,690.08
87,13.26,11.35,13877.56,584.48,1551.43,7.49,0.69,1394.82,327.8,688.64
88,13.23,11.36,14083.72,584.37,1548.63,7.51,0.91,1387.93,326.4,688.49
89,13.25,11.35,14007.24,584.9,1550.16,7.49,0.0,1395.1,327.64,688.85
90,13.24,11.36,13944.83,585.08,1553.08,7.53,0.94,1392.85,327.72,688.01
91,13.25,11.37,13835.22,584.52,1550.57,7.51,0.9,1408.67,327.95,688.64
92,13.25,11.39,13928.72,584.62,1553.31,7.51,0.93,1407.89,328.41,689.38
93,13.2,11.37,14072.25,585.51,1551.64,7.5,0.87,1395.94,327.58,688.37
94,13.18,11.35,13805.51,583.86,1548.43,7.47,0.64,1396.69,325.26,686.17
95,13.1,11.34,13691.0,583.31,1546.42,7.47,0.85,1387.33,324.72,684.95
96,13.1,11.34,13672.18,580.74,1547.69,7.44,0.0,1368.37,324.13,683.7
97,13.08,11.32,13534.96,578.3,1545.35,7.45,0.76,1368.02,323.48,681.44
98,13.1,11.35,13750.56,579.46,1547.63,7.5,0.87,1380.73,322.91,682.9
99,13.16,11.38,13971.16,582.09,1550.95,7.5,0.73,1399.43,326.17,684.55
100,13.13,11.36,13964.39,581.71,1548.5,7.46,0.74,1389.19,325.19,683.68
101,13.07,11.33,13761.76,578.82,1546.4,7.5,0.84,1378.57,323.16,682.02
