,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,10.150000000000002,16.68,18513.6,1127.76,1412.1499999999996,10.5,14.83,12191.75,460.41,979.28
31,10.46,16.71,26832.8,1124.44,1414.8799999999997,10.91,2.0,12319.1,454.07,995.99
32,11.73,16.74,26413.8,1120.63,1405.48,10.94,2.15,12210.97,452.12,1035.4
33,13.130000000000003,16.84,26521.6,1146.49,1404.4699999999998,10.91,1.92,12312.49,460.67,1051.76
34,14.75,17.0,27836.12,1170.3,1401.37,10.83,2.19,12398.37,462.03,1045.71
35,16.380000000000003,17.04,29219.4,1184.8,1392.6299999999997,10.91,2.25,12520.29,460.93,1057.97
36,17.8,17.04,27724.23,1187.17,1382.8999999999996,10.91,1.76,12581.02,460.31,1071.7
37,19.07,17.09,28462.33,1185.27,1374.7599999999998,10.95,2.35,12764.99,461.2,1079.54
38,19.950000000000003,17.08,29181.47,1171.88,1358.1099999999997,10.84,2.02,12656.91,462.26,1081.42
39,20.83,17.08,28724.16,1162.42,1353.8599999999997,10.71,2.5,12764.99,461.43,1086.35
40,21.58,17.07,29547.77,1151.85,1339.02,10.7,2.19,12785.42,460.88,1087.12
41,22.120000000000005,17.05,29780.01,1137.28,1328.71,10.66,2.31,12756.05,459.4,1086.56
42,22.490000000000002,17.04,27911.87,1127.01,1316.7199999999998,10.81,3.37,12707.95,457.27,1085.22
43,22.9,17.03,29513.52,1119.55,1309.48,10.65,2.06,12845.99,452.4,1084.29
44,23.25,16.92,29951.23,1105.51,1292.48,10.7,2.33,12861.66,447.21,1084.08
45,23.5,16.81,29902.64,1093.41,1272.6499999999996,10.56,2.28,12720.79,444.56,1083.02
46,23.72,16.82,29113.58,1083.08,1268.7999999999997,10.62,2.56,12682.95,443.84,1084.63
47,23.93,16.8,28994.15,1071.48,1264.58,10.77,1.83,12736.1,443.27,1085.85
48,24.11,16.76,28644.19,1063.71,1255.54,10.59,1.65,12817.62,441.51,1085.95
49,24.240000000000002,16.76,29951.55,1060.08,1251.4099999999999,10.6,2.18,12866.61,441.63,1090.45
50,24.35,16.71,29408.71,1049.47,1239.9099999999999,10.62,2.68,12712.22,440.78,1090.98
51,24.65,16.7,28279.14,1047.0,1238.54,10.57,2.45,12871.1,441.13,1094.63
52,24.800000000000004,16.66,28457.56,1040.37,1228.0699999999997,10.62,2.48,12800.77,439.02,1094.79
53,24.950000000000003,16.66,28321.28,1039.59,1229.12,10.51,2.2,12687.91,440.71,1099.79
54,24.65,16.51,28832.74,1013.38,1172.3399999999997,10.33,2.16,12505.1,432.84,1085.02
55,25.060000000000002,16.55,29334.26,1025.78,1206.6699999999996,10.51,2.05,12745.66,439.04,1103.85
56,25.270000000000003,16.62,28767.0,1033.0,1225.2999999999997,10.41,2.06,12947.55,441.63,1112.88
57,25.35,16.62,29762.52,1027.74,1219.1299999999997,10.67,2.17,12911.82,441.82,1115.38
58,25.33,16.57,29087.83,1018.81,1207.29,10.71,1.93,12846.85,439.4,1116.04
59,25.42,16.61,30486.15,1018.36,1205.1099999999997,10.78,2.1,12781.11,441.09,1119.2
