,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,9.32,3.25,2768.29,95.97,1636.25,8.08,10.53,422.39,39.96,85.14,32.5,16.0,0.019999999999999574,-0.009999999999999787,-905.22,-0.28999999999999204,0.7899999999999636,-0.23000000000000043,0.13000000000000078,0.8000000000000114,0.3399999999999963,0.5100000000000051,0.0,0.0
1,9.34,3.24,1863.07,95.68,1637.04,7.85,10.66,423.19,40.3,85.65,32.5,16.0,0.07500000000000018,-0.004999999999999893,-497.03,0.2150000000000034,-1.8949999999999818,-0.14000000000000012,0.1850000000000005,2.0100000000000193,0.05000000000000071,0.0899999999999963,0.0,0.0
2,9.47,3.24,1774.23,96.4,1632.46,7.8,10.9,426.41,40.06,85.32,32.5,16.0,0.1299999999999999,0.0,-27.959999999999923,1.259999999999998,-3.0499999999999545,-0.04999999999999982,0.07000000000000028,0.5900000000000034,-0.17499999999999716,-0.015000000000000568,0.0,0.0
3,9.6,3.24,1807.15,98.2,1630.94,7.75,10.8,424.37,39.95,85.62,32.5,16.0,0.125,0.004999999999999893,-7.305000000000064,1.3499999999999943,-1.2200000000000273,-0.02499999999999991,-0.055000000000000604,-0.2950000000000159,-0.14000000000000057,0.1700000000000017,0.0,0.0
4,9.72,3.25,1759.62,99.1,1630.02,7.75,10.79,425.82,39.78,85.66,32.5,16.0,0.10500000000000043,0.004999999999999893,-8.555000000000064,0.8249999999999957,-4.080000000000041,0.009999999999999787,0.034999999999999254,1.460000000000008,-0.010000000000001563,0.10999999999999943,0.0,0.0
5,9.81,3.25,1790.04,99.85,1622.78,7.77,10.87,427.29,39.93,85.84,32.5,16.0,0.08499999999999996,-0.004999999999999893,19.81000000000006,0.6200000000000045,-1.9449999999999363,0.020000000000000018,0.05000000000000071,-0.04999999999998295,0.04499999999999815,0.09000000000000341,0.0,0.0
6,9.89,3.24,1799.24,100.34,1626.13,7.79,10.89,425.72,39.87,85.84,32.5,16.0,0.0699999999999994,-0.004999999999999893,11.25,0.4550000000000054,2.919999999999959,0.020000000000000018,0.03500000000000014,-0.07500000000001705,0.05999999999999872,0.14999999999999858,0.0,0.0
7,9.95,3.24,1812.54,100.76,1628.62,7.81,10.94,427.14,40.05,86.14,32.5,16.0,0.03500000000000014,0.004999999999999893,2.7000000000000455,0.10499999999999687,-0.1150000000000091,0.0,0.004999999999999893,3.214999999999975,0.13500000000000156,0.48499999999999943,0.0,0.0
8,9.96,3.25,1804.64,100.55,1625.9,7.79,10.9,432.15,40.14,86.81,32.5,16.0,0.040000000000000036,0.004999999999999893,26.200000000000045,-0.045000000000001705,-1.6199999999998909,0.010000000000000231,0.025000000000000355,1.5049999999999955,0.015000000000000568,0.6799999999999997,0.0,0.0
9,10.03,3.25,1864.94,100.67,1625.38,7.83,10.99,430.15,40.08,87.5,32.5,16.0,0.04499999999999993,0.0,8.269999999999982,0.2749999999999986,1.6449999999999818,-0.004999999999999893,0.019999999999999574,0.3800000000000239,0.10000000000000142,0.5349999999999966,0.0,0.0
10,10.05,3.25,1821.18,101.1,1629.19,7.78,10.94,432.91,40.34,87.88,32.5,16.0,0.025000000000000355,0.0,-7.115000000000009,0.4450000000000003,1.6899999999999409,-0.020000000000000018,-0.04999999999999982,0.950000000000017,0.21499999999999986,0.5549999999999997,0.0,0.0
11,10.08,3.25,1850.71,101.56,1628.76,7.79,10.89,432.05,40.51,88.61,32.5,16.0,0.024999999999999467,-0.004999999999999893,-4.315000000000055,0.4200000000000017,-1.44500000000005,0.01499999999999968,-0.019999999999999574,1.4050000000000011,0.4399999999999977,0.46000000000000085,0.0,0.0
12,10.1,3.24,1812.55,101.94,1626.3,7.81,10.9,435.72,41.22,88.8,32.5,16.0,0.004999999999999893,0.0,-4.914999999999964,0.375,-1.3899999999999864,-0.004999999999999893,-0.040000000000000036,0.7199999999999989,0.38500000000000156,0.4549999999999983,0.0,0.0
13,10.09,3.25,1840.88,102.31,1625.98,7.78,10.81,433.49,41.28,89.52,32.5,16.0,-0.004999999999999893,0.004999999999999893,-1.4850000000000136,0.509999999999998,-1.9399999999999409,-0.0349999999999997,-0.07500000000000018,-1.1850000000000023,0.20500000000000185,0.5350000000000037,0.0,0.0
14,10.09,3.25,1809.58,102.96,1622.42,7.74,10.75,433.35,41.63,89.87,32.5,16.0,0.0,0.010000000000000009,3.0499999999999545,0.490000000000002,-0.6200000000000045,-0.010000000000000231,-0.015000000000000568,1.2349999999999852,0.5350000000000001,0.3999999999999986,0.0,0.0
15,10.09,3.27,1846.98,103.29,1624.74,7.76,10.78,435.96,42.35,90.32,32.5,16.0,0.0,0.010000000000000009,-7.480000000000018,0.6450000000000031,0.3249999999999318,0.009999999999999787,0.040000000000000036,0.6899999999999977,0.259999999999998,0.5499999999999972,0.0,0.0
16,10.09,3.27,1794.62,104.25,1623.07,7.76,10.83,434.73,42.15,90.97,32.5,16.0,0.0,0.0,-6.740000000000009,0.9099999999999966,-2.375,-0.0349999999999997,-0.02999999999999936,2.1899999999999977,0.05999999999999872,0.6750000000000043,0.0,0.0
