,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,15.630000000000003,25.67,32774.65,1541.4,884.5100000000002,15.6,22.07,28829.75,864.3,1415.83
31,15.600000000000001,25.61,32701.21,1530.38,866.8299999999999,15.3,4.59,28746.96,855.88,1406.75
32,15.990000000000002,25.55,32543.26,1525.62,858.0699999999997,15.56,4.08,28609.75,854.18,1404.7
33,16.61,25.49,32442.85,1519.39,847.04,15.51,3.76,28510.51,851.19,1406.73
34,17.11,25.38,32360.13,1505.19,814.4099999999999,15.48,4.04,28379.22,843.77,1403.71
35,17.61,25.27,32347.01,1496.7,785.2600000000002,15.38,4.96,28523.06,837.42,1406.34
36,18.380000000000003,25.34,32723.09,1506.33,800.9200000000001,15.46,4.83,28882.83,847.52,1420.41
37,18.85,25.25,33019.0,1502.74,779.0900000000001,15.4,4.2,29046.71,848.75,1425.4
38,19.21,25.17,33102.19,1500.61,771.5500000000002,15.42,4.31,29184.84,848.62,1428.83
39,19.47,25.12,32824.06,1493.02,734.7299999999996,15.31,4.33,29114.41,846.35,1429.92
40,19.700000000000003,25.04,32931.08,1490.38,720.7600000000002,15.31,4.14,29063.53,843.78,1433.53
41,19.93,24.98,33040.98,1486.55,693.79,15.3,4.09,29045.82,841.22,1435.69
42,20.07,24.84,32923.96,1482.13,667.9099999999999,15.23,4.04,29113.66,841.08,1436.89
43,20.17,24.78,33031.56,1477.97,643.6800000000003,15.11,4.11,29044.51,840.46,1439.04
44,20.270000000000003,24.7,32803.93,1473.86,623.8699999999999,15.14,5.13,29032.63,835.1,1440.13
45,20.340000000000003,24.64,32825.96,1471.05,603.3499999999995,15.01,4.44,29046.31,830.87,1440.54
46,20.410000000000004,24.56,32784.73,1465.86,565.25,15.11,4.55,29073.25,829.04,1442.14
47,20.510000000000005,24.54,32822.41,1470.46,560.3499999999995,15.05,4.54,29087.72,829.96,1449.13
48,20.64,24.51,32912.72,1473.29,539.5900000000001,15.06,4.01,29148.25,832.82,1455.63
49,20.72,24.49,32754.61,1474.11,537.3699999999999,14.98,4.52,29086.2,833.3,1459.68
50,20.79,24.47,32894.42,1474.29,519.8999999999996,14.93,4.08,29109.66,833.93,1463.91
51,20.760000000000005,24.4,32739.83,1468.28,491.15999999999985,14.91,4.26,29118.83,829.39,1465.27
52,20.75,24.32,32690.63,1465.33,462.7399999999998,14.91,4.3,29049.03,827.03,1467.56
53,20.810000000000002,24.28,32693.5,1464.45,438.09000000000015,14.81,4.14,29047.03,825.97,1471.33
54,20.730000000000004,24.18,32303.9,1459.33,408.21000000000004,14.82,3.85,28904.83,823.5,1470.62
55,20.79,24.17,32496.84,1464.26,396.1099999999997,14.76,3.85,29019.35,826.33,1478.96
56,20.800000000000004,24.12,32357.21,1465.55,387.4499999999998,14.84,4.38,28947.88,824.52,1481.68
57,20.89,24.1,32326.03,1467.32,374.4300000000003,14.74,3.67,29107.17,825.57,1491.03
58,20.9,24.04,32496.27,1463.37,351.3299999999999,14.68,4.05,29035.65,823.31,1491.22
59,20.97,24.07,32444.67,1473.84,358.97999999999956,14.71,4.29,29100.03,825.41,1504.39
