,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,14.550000000000004,27.34,70011.47,1906.2,803.5,15.5,21.95,29136.03,1035.2,2002.33
31,14.510000000000005,27.23,99010.67,1883.29,788.8999999999996,15.14,3.49,29132.31,1026.99,1986.84
32,15.010000000000005,27.25,99314.49,1885.01,782.1700000000001,15.43,3.44,29126.06,1030.17,1985.92
33,15.630000000000003,27.22,99043.02,1886.21,775.1099999999997,15.4,3.41,29233.48,1028.89,1992.65
34,16.200000000000003,27.13,97920.7,1879.8,755.4099999999999,15.34,3.37,29369.08,1025.47,1997.39
35,16.770000000000003,26.94,97012.22,1868.89,709.2299999999996,15.29,3.45,29090.29,1014.12,1992.18
36,17.22,26.85,95473.03,1862.13,689.5699999999997,15.22,3.48,28948.74,1008.76,1995.01
37,17.6,26.7,95888.03,1849.97,651.0100000000002,15.16,3.68,28865.92,1002.54,1995.13
38,17.93,26.6,95423.25,1847.06,622.5100000000002,15.12,3.38,28796.47,1002.01,1994.15
39,18.240000000000002,26.5,93545.35,1844.8,604.8800000000001,15.1,3.22,28888.61,1002.02,1996.38
40,18.58,26.44,93989.11,1842.14,573.7600000000002,15.02,3.27,29023.84,1004.71,2001.14
41,18.78,26.35,94273.54,1841.95,558.0,15.01,3.55,29040.9,1004.1,2000.11
42,19.010000000000005,26.3,93570.14,1837.08,537.3000000000002,14.93,3.03,29141.73,1004.12,2000.29
43,19.130000000000003,26.23,90603.37,1835.54,499.6999999999998,14.94,3.4,29134.98,1005.52,1997.42
44,19.22,26.13,91180.19,1832.75,490.0799999999999,14.9,3.95,28996.72,1002.82,1999.51
45,19.35,26.07,92398.79,1828.86,461.9300000000003,14.85,3.78,28989.52,1003.68,1999.3
46,19.36,26.01,95119.54,1826.18,436.02999999999975,14.81,3.71,28985.1,999.85,1999.1
47,19.46,25.95,94172.95,1825.65,420.0,14.76,3.78,29083.61,998.74,2000.05
48,19.380000000000003,25.93,93256.02,1817.71,391.39999999999964,14.79,3.77,28773.95,995.07,1993.46
49,19.42,25.87,92475.17,1813.78,369.4200000000001,14.68,3.69,28697.46,995.62,1990.05
50,19.440000000000005,25.82,92964.28,1815.33,350.4200000000001,14.7,3.65,28792.21,994.77,1995.13
51,19.450000000000003,25.74,92162.72,1809.89,330.4399999999996,14.67,3.57,28650.62,995.55,1993.69
52,19.370000000000005,25.67,92793.96,1804.64,309.25,14.53,3.97,28495.91,989.87,1989.85
53,19.35,25.64,91976.61,1806.52,303.0799999999999,14.53,3.78,28620.07,993.12,1992.24
54,19.270000000000003,25.57,92065.85,1804.33,282.46000000000004,14.54,3.87,28616.21,991.89,1988.92
55,19.190000000000005,25.53,91129.52,1797.15,263.9300000000003,14.48,3.4,28493.14,989.88,1986.11
56,19.160000000000004,25.47,90608.56,1801.65,253.27999999999975,14.51,3.63,28523.15,989.05,1985.4
57,19.18,25.46,91987.21,1799.71,239.44999999999982,14.56,3.5,28670.45,993.33,1987.25
58,19.11,25.42,90130.18,1798.75,222.09000000000015,14.46,3.78,28605.73,991.24,1986.28
59,18.83,25.28,88078.88,1783.18,179.0699999999997,14.4,3.65,28185.12,977.35,1980.44
