,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,13.03,12.15,2782219.0,515.3,1540.05,13.95,18.44,1738.02,276.86,471.69
1,13.0,12.16,13365.67,507.42,1531.09,7.5,0.0,1706.98,279.56,470.21
2,13.1,12.19,12731.18,508.5,1536.54,7.39,0.0,1779.38,280.76,472.63
3,13.11,12.21,12531.33,509.29,1536.69,7.36,0.0,1774.92,282.83,475.64
4,13.17,12.18,12694.5,510.28,1534.29,7.33,0.0,1735.49,283.76,478.89
5,13.36,12.25,12922.23,517.86,1538.87,7.31,0.0,1779.29,286.92,486.1
6,13.56,12.27,13085.19,521.13,1541.38,7.34,0.0,1795.92,288.36,493.43
7,13.77,12.27,13100.7,525.78,1539.38,7.33,0.7,1803.32,289.59,500.7
8,13.91,12.32,13701.69,532.56,1541.5,7.3,0.67,1812.8,291.02,509.58
9,14.05,12.3,13673.47,535.28,1538.12,7.35,0.53,1804.8,292.71,516.25
10,14.3,12.35,13667.83,544.52,1544.22,7.34,0.74,1844.16,294.99,522.4
11,14.49,12.34,13488.14,547.93,1539.79,7.35,0.0,1846.51,295.69,531.68
12,14.73,12.37,13829.18,552.16,1540.64,7.33,0.0,1851.2,297.85,540.79
13,14.98,12.38,14079.24,559.43,1544.76,7.34,0.0,1869.15,300.35,552.15
14,15.16,12.38,14287.14,563.19,1540.98,7.42,0.83,1838.98,300.05,559.25
15,15.32,12.4,14423.28,568.52,1538.13,7.4,0.55,1847.04,302.42,566.92
16,15.55,12.43,14833.22,574.69,1544.34,7.36,0.0,1853.38,305.24,575.61
17,15.78,12.43,15051.07,577.71,1543.08,7.42,0.76,1868.57,307.0,584.12
18,16.01,12.45,15223.87,583.44,1546.7,7.41,0.0,1881.93,309.54,593.46
19,16.23,12.46,15307.77,585.94,1546.77,7.45,0.72,1863.67,312.5,600.46
20,16.42,12.49,15787.65,590.9,1548.19,7.42,0.82,1885.52,314.34,609.19
21,16.52,12.48,15503.66,592.0,1542.61,7.38,0.62,1834.72,313.69,613.79
22,16.77,12.54,15389.15,601.13,1553.25,7.43,0.0,1912.95,321.19,627.16
23,17.03,12.6,16239.74,608.11,1561.71,7.39,0.91,1938.69,322.95,634.83
24,17.3,12.69,16518.49,618.04,1571.2,7.36,0.83,2019.38,324.73,644.41
25,17.44,12.7,16849.79,620.31,1567.93,7.32,0.0,2004.81,325.16,649.35
26,17.62,12.71,16716.79,625.43,1575.96,7.38,0.0,1980.26,328.3,657.11
27,17.71,12.69,17154.42,627.87,1575.51,7.39,0.64,2006.4,330.42,663.19
28,17.8,12.69,16940.46,626.14,1567.54,7.36,1.02,1961.96,328.53,666.28
29,17.8,12.61,16317.21,614.56,1544.52,7.27,0.96,1900.17,323.03,661.93
30,17.86,12.56,15571.34,609.04,1535.33,7.38,0.0,1862.22,321.48,663.98
31,18.07,12.66,16834.32,622.32,1547.81,7.39,0.95,1907.22,326.62,674.01
32,18.29,12.7,16569.48,626.8,1551.2,7.41,0.39,1955.07,329.12,679.12
33,18.25,12.69,17047.52,626.74,1550.79,7.48,0.83,1930.47,330.0,681.43
34,18.37,12.73,16912.49,627.74,1552.15,7.46,1.02,1919.36,329.47,686.1
35,18.52,12.74,16739.89,629.94,1553.27,7.45,0.83,1956.21,331.06,691.33
36,18.57,12.75,16781.2,628.54,1550.8,7.41,1.18,1918.4,329.44,692.27
37,18.56,12.69,16828.04,627.22,1545.2,7.33,0.0,1888.67,327.7,693.31
38,18.62,12.68,17201.94,627.39,1544.18,7.42,1.7,1858.83,328.02,696.35
39,18.7,12.67,16368.17,626.9,1544.91,7.4,0.0,1891.53,329.11,700.25
40,18.82,12.72,16800.65,630.87,1549.5,7.35,0.65,1918.75,331.3,706.6
41,18.82,12.72,16950.26,631.15,1549.49,7.41,0.0,1875.52,331.51,710.39
42,18.87,12.73,15733.69,632.1,1551.47,7.37,0.0,1885.21,332.05,712.24
43,19.01,12.78,16036.66,634.13,1562.07,7.42,0.0,1899.84,333.36,714.68
44,19.01,12.76,15695.25,632.71,1557.97,7.4,0.85,1886.75,332.43,715.66
45,18.97,12.73,15533.43,630.2,1553.83,7.36,0.0,1881.77,330.85,715.18
46,19.06,12.75,16324.51,632.03,1552.79,7.36,0.61,1880.25,332.24,716.64
47,19.06,12.79,16693.46,631.46,1553.88,7.35,0.75,1895.64,331.86,718.32
48,19.13,12.77,17114.61,630.83,1552.69,7.28,0.65,1883.66,332.15,719.39
49,19.16,12.78,17146.43,630.53,1553.45,7.31,0.92,1868.64,331.7,720.43
50,19.24,12.86,17105.76,636.51,1576.41,7.38,0.0,1902.32,335.44,728.85
