,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,12.26,5.43,1270.81,173.27,1809.38,8.39,11.14,1052.19,66.17,109.48,,,0.05000000000000071,-0.009999999999999787,-103.16999999999985,-1.1800000000000068,-16.220000000000027,-0.19000000000000128,-0.4900000000000002,-22.25,-0.46999999999999886,-1.0600000000000023,,
1,12.31,5.42,1167.64,172.09,1793.16,8.2,10.65,1029.94,65.7,108.42,,,0.09499999999999975,-0.029999999999999805,-55.63499999999999,-0.7400000000000091,-10.725000000000023,-0.11500000000000021,-0.1800000000000006,-12.360000000000014,-0.5150000000000006,-0.6000000000000014,,
2,12.45,5.37,1159.54,171.79,1787.93,8.16,10.78,1027.47,65.14,108.28,,,0.125,-0.02499999999999991,-7.595000000000027,0.14499999999999602,-2.8450000000000273,-0.01499999999999968,0.08000000000000007,-4.685000000000002,-0.259999999999998,0.34499999999999886,,
3,12.56,5.37,1152.45,172.38,1787.47,8.17,10.81,1020.57,65.18,109.11,,,0.15000000000000036,-0.004999999999999893,-3.7100000000000364,0.6950000000000074,1.8099999999999454,0.009999999999999787,0.07000000000000028,-2.569999999999993,-0.09499999999999886,0.7000000000000028,,
4,12.75,5.36,1152.12,173.18,1791.55,8.18,10.92,1022.33,64.95,109.68,,,0.1349999999999998,0.004999999999999893,-5.519999999999982,1.3250000000000028,1.240000000000009,0.009999999999999787,0.08499999999999996,4.884999999999934,0.054999999999999716,0.7349999999999994,,
5,12.83,5.38,1141.41,175.03,1789.95,8.19,10.98,1030.34,65.29,110.58,,,0.05999999999999961,0.01499999999999968,-8.534999999999968,0.9949999999999903,2.6000000000000227,0.009999999999999787,0.01499999999999968,5.84499999999997,0.24499999999999744,0.8099999999999952,,
6,12.87,5.39,1135.05,175.17,1796.75,8.2,10.95,1034.02,65.44,111.3,,,0.07000000000000028,0.004999999999999893,1.4399999999999409,0.75,2.7350000000000136,0.004999999999999893,-0.009999999999999787,1.0900000000000318,0.37999999999999545,0.634999999999998,,
7,12.97,5.39,1144.29,176.53,1795.42,8.2,10.96,1032.52,66.05,111.85,,,0.15000000000000036,-0.01499999999999968,18.45500000000004,0.5950000000000131,-0.4149999999999636,0.0,0.020000000000000462,7.440000000000055,0.5850000000000009,0.6499999999999986,,
8,13.17,5.36,1171.96,176.36,1795.92,8.2,10.99,1048.9,66.61,112.6,,,0.1349999999999998,-0.009999999999999787,9.399999999999977,0.5049999999999955,2.6100000000000136,0.010000000000000675,-0.010000000000000675,13.710000000000036,0.45000000000000284,0.6450000000000031,,
9,13.24,5.37,1163.09,177.54,1800.64,8.22,10.94,1059.94,66.95,113.14,,,0.03500000000000014,0.0,-6.300000000000068,0.5699999999999932,1.2899999999999636,0.020000000000000462,-0.01499999999999968,-2.580000000000041,0.03999999999999915,0.5250000000000057,,
10,13.24,5.36,1159.36,177.5,1798.5,8.24,10.96,1043.74,66.69,113.65,,,0.024999999999999467,-0.004999999999999893,-0.8349999999999227,0.27000000000001023,-2.1350000000001046,0.009999999999999787,0.04499999999999993,-5.75,-0.060000000000002274,0.41499999999999915,,
11,13.29,5.36,1161.42,178.08,1796.37,8.24,11.03,1048.44,66.83,113.97,,,0.04999999999999982,0.009999999999999787,2.8950000000000955,1.2249999999999943,-0.6749999999999545,-0.009999999999999787,0.0,6.139999999999986,0.46999999999999886,0.6950000000000003,,
12,13.34,5.38,1165.15,179.95,1797.15,8.22,10.96,1056.02,67.63,115.04,,,0.07500000000000018,0.029999999999999805,8.919999999999959,1.2549999999999955,0.09500000000002728,0.009999999999999787,0.004999999999999893,13.184999999999945,0.615000000000002,0.9200000000000017,,
13,13.44,5.42,1179.26,180.59,1796.56,8.26,11.04,1074.81,68.06,115.81,,,0.04999999999999982,0.010000000000000231,9.344999999999914,0.8100000000000023,-2.69500000000005,0.019999999999999574,0.019999999999999574,7.375,0.16499999999999915,0.6999999999999957,,
14,13.44,5.4,1183.84,181.57,1791.76,8.26,11.0,1070.77,67.96,116.44,34.1,13.0,0.020000000000000462,-0.015000000000000124,-5.559999999999945,0.6099999999999994,-0.5799999999999272,0.03000000000000025,-0.019999999999999574,-3.064999999999941,-0.14999999999999858,0.5749999999999957,,
15,13.48,5.39,1168.14,181.81,1795.4,8.32,11.0,1068.68,67.76,116.96,34.1,13.0,0.03000000000000025,-0.0050000000000003375,-0.7350000000000136,0.10500000000000398,4.654999999999973,0.009999999999999787,-0.16500000000000004,8.764999999999986,0.17500000000000426,0.3049999999999997,0.0,-0.5
16,13.5,5.39,1182.37,181.78,1801.07,8.28,10.67,1088.3,68.31,117.05,34.1,12.0,0.02999999999999936,0.015000000000000124,6.759999999999991,0.3850000000000051,1.7149999999999181,-0.054999999999999716,-0.1900000000000004,6.764999999999986,0.34499999999999886,0.480000000000004,0.0,-0.5
17,13.54,5.42,1181.66,182.58,1798.83,8.21,10.62,1082.21,68.45,117.92,34.1,12.0,0.040000000000000036,0.020000000000000018,1.6200000000000045,0.8049999999999926,-1.115000000000009,-0.02999999999999936,0.13999999999999968,1.5,0.14499999999999602,0.6600000000000037,0.0,1.5
18,13.58,5.43,1185.61,183.39,1798.84,8.22,10.95,1091.3,68.6,118.37,34.1,15.0,0.03500000000000014,0.0,0.5599999999999454,0.6949999999999932,0.8150000000000546,0.009999999999999787,0.005000000000000782,-1.9600000000000364,0.125,0.519999999999996,0.0,1.5
19,13.61,5.42,1182.78,183.97,1800.46,8.23,10.63,1078.29,68.7,118.96,34.1,15.0,0.019999999999999574,0.0,-7.8700000000000045,0.0800000000000125,-2.3449999999999136,0.0,-0.15499999999999936,-10.049999999999955,-0.125,0.39000000000000057,0.0,0.0
