,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,8.69,3.27,2895.88,97.6,1602.17,7.87,11.32,846.08,61.33,120.61,,,0.040000000000000924,-0.029999999999999805,-966.6500000000001,-0.5899999999999892,-7.880000000000109,-0.15000000000000036,-0.5500000000000007,37.719999999999914,2.210000000000001,2.799999999999997,,
1,8.73,3.24,1929.23,97.01,1594.29,7.72,10.77,883.8,63.54,123.41,,,0.08499999999999996,-0.0050000000000001155,-530.0050000000001,0.4350000000000023,-3.0450000000000728,-0.08499999999999996,-0.17999999999999972,-9.995000000000005,0.02500000000000213,-0.3500000000000014,,
2,8.86,3.26,1835.87,98.47,1596.08,7.7,10.96,826.09,61.38,119.91,32.9,16.0,0.1299999999999999,0.019999999999999796,-18.995000000000005,1.1649999999999991,-0.6449999999999818,-0.01499999999999968,0.08999999999999986,-28.924999999999955,-1.259999999999998,-2.0749999999999957,,
3,8.99,3.28,1891.24,99.34,1593.0,7.69,10.95,825.95,61.02,119.26,32.9,16.0,0.11000000000000032,-0.009999999999999787,0.6550000000000864,0.6850000000000023,-1.544999999999959,0.0,-0.010000000000000675,-3.420000000000016,-0.4700000000000024,-0.054999999999999716,-0.05000000000000071,0.0
4,9.08,3.24,1837.18,99.84,1592.99,7.7,10.94,819.25,60.44,119.8,32.8,16.0,0.08499999999999996,-0.014999999999999902,-25.450000000000045,0.5949999999999989,4.684999999999945,0.020000000000000018,0.025000000000000355,-2.19500000000005,-0.370000000000001,0.17499999999999716,-0.05000000000000071,0.0
5,9.16,3.25,1840.34,100.53,1602.37,7.73,11.0,821.56,60.28,119.61,32.8,16.0,0.07000000000000028,0.009999999999999787,-9.634999999999991,0.4450000000000003,0.82000000000005,0.0,0.0,-13.329999999999984,-0.26500000000000057,-0.3299999999999983,0.05000000000000071,0.0
6,9.22,3.26,1817.91,100.73,1594.63,7.7,10.94,792.59,59.91,119.14,32.9,16.0,0.07000000000000028,0.004999999999999893,7.759999999999991,0.28000000000000114,-3.724999999999909,-0.03000000000000025,-0.04499999999999993,-16.784999999999968,-0.3249999999999993,-0.03999999999999915,0.05000000000000071,0.0
7,9.3,3.26,1855.86,101.09,1594.92,7.67,10.91,787.99,59.63,119.53,32.9,16.0,0.054999999999999716,0.0050000000000001155,1.1399999999999864,0.11499999999999488,1.384999999999991,0.0,0.010000000000000675,0.01999999999998181,-0.17999999999999972,0.29999999999999716,-0.05000000000000071,0.0
8,9.33,3.27,1820.19,100.96,1597.4,7.7,10.96,792.63,59.55,119.74,32.8,16.0,0.034999999999999254,0.0050000000000001155,3.800000000000068,0.41499999999999915,3.7099999999999227,0.02499999999999991,0.04499999999999993,2.0949999999999704,-0.20000000000000284,0.8299999999999983,-0.05000000000000071,0.0
9,9.37,3.27,1863.46,101.92,1602.34,7.72,11.0,792.18,59.23,121.19,32.8,16.0,0.040000000000000036,0.004999999999999893,5.814999999999941,0.6850000000000023,0.5449999999999591,0.004999999999999893,0.019999999999999574,0.009999999999990905,-0.054999999999999716,1.1600000000000037,0.05000000000000071,0.0
10,9.41,3.28,1831.82,102.33,1598.49,7.71,11.0,792.65,59.44,122.06,32.9,16.0,0.03000000000000025,0.014999999999999902,-0.9400000000000546,0.5549999999999997,1.3150000000000546,-0.004999999999999893,-0.009999999999999787,-0.7599999999999909,0.14000000000000057,1.1600000000000037,0.05000000000000071,0.0
11,9.43,3.3,1861.58,103.03,1604.97,7.71,10.98,790.66,59.51,123.51,32.9,16.0,0.03000000000000025,0.0,-4.490000000000009,0.4450000000000003,1.5850000000000364,-0.009999999999999787,-0.025000000000000355,-3.2299999999999613,0.08000000000000185,1.0949999999999989,0.0,0.0
12,9.47,3.28,1822.84,103.22,1601.66,7.69,10.95,786.19,59.6,124.25,32.9,16.0,0.04499999999999993,-0.004999999999999893,-1.2149999999999181,0.7650000000000006,-2.2549999999999955,0.0,0.0,-1.9950000000000045,0.08999999999999986,-0.015000000000000568,0.0,0.0
13,9.52,3.29,1859.15,104.56,1600.46,7.71,10.98,786.67,59.69,123.48,32.9,16.0,0.034999999999999254,0.010000000000000009,-8.349999999999909,0.980000000000004,-1.134999999999991,-0.0050000000000003375,-0.019999999999999574,0.9949999999999477,0.04499999999999815,-0.46999999999999886,0.0,0.0
14,9.54,3.3,1806.14,105.18,1599.39,7.68,10.91,788.18,59.69,123.31,32.9,16.0,0.015000000000000568,0.004999999999999893,-15.990000000000009,0.7849999999999966,0.18999999999994088,0.0,-0.004999999999999893,-3.9699999999999704,0.0,0.11999999999999744,0.0,0.0
15,9.55,3.3,1827.17,106.13,1600.84,7.71,10.97,778.73,59.69,123.72,32.9,16.0,0.005000000000000782,0.0,-0.625,0.5549999999999997,-0.775000000000091,-0.004999999999999893,-0.009999999999999787,-1.5349999999999682,-0.15499999999999758,0.4649999999999963,0.0,0.0
