,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,13.219999999999999,25.22,44457.66,1371.33,1147.4899999999998,15.9,22.42,17252.57,746.98,1341.31
31,12.93,24.87,55385.1,1340.87,1099.3000000000002,15.45,2.39,16533.0,724.41,1323.73
32,14.009999999999998,25.49,60809.91,1396.17,1242.5199999999995,15.98,3.08,18229.69,761.34,1357.97
33,14.759999999999998,25.51,45825.57,1397.39,1260.5699999999997,16.0,2.99,18738.51,770.1,1370.25
34,14.399999999999999,24.83,23652.31,1323.73,1108.12,15.8,3.18,17043.71,723.45,1334.37
35,16.29,25.75,26770.0,1414.81,1317.21,16.17,3.6,19986.2,789.1,1402.41
36,16.68,25.7,27101.79,1400.66,1293.8400000000001,16.1,3.3,20083.71,784.44,1400.13
37,17.03,25.56,28544.74,1388.51,1261.9899999999998,16.06,3.34,20292.94,781.18,1399.93
38,17.03,25.25,27915.38,1356.23,1190.67,15.98,3.19,19676.64,762.7,1384.34
39,17.240000000000002,25.16,28522.21,1346.72,1151.6000000000004,15.84,3.48,19788.41,755.58,1374.28
40,17.58,25.14,28567.28,1339.63,1139.9899999999998,15.89,3.4,19953.88,753.86,1376.63
41,18.300000000000004,25.47,29918.17,1367.51,1200.8999999999996,15.97,3.24,21097.23,780.06,1397.05
42,18.620000000000005,25.54,30575.34,1375.19,1209.8999999999996,16.0,3.26,21891.47,790.87,1403.51
43,18.880000000000003,25.54,31735.0,1376.58,1197.58,16.03,3.09,22069.08,794.22,1405.04
44,18.46,25.12,30663.95,1334.62,1089.12,15.78,3.28,21120.05,766.78,1377.8
45,18.58,25.09,30538.27,1330.65,1065.1499999999996,15.71,3.22,21355.73,768.91,1379.03
46,18.85,25.21,31004.35,1350.89,1091.7399999999998,15.79,3.16,21854.39,781.52,1390.04
47,18.870000000000005,25.14,30623.89,1344.95,1055.8599999999997,15.69,3.34,21939.35,780.0,1389.04
48,18.730000000000004,24.96,30662.57,1327.26,1010.2699999999995,15.63,3.19,21569.32,769.88,1379.98
49,18.5,24.72,31559.28,1306.59,947.8500000000004,15.59,3.05,21104.56,755.35,1367.24
50,17.72,24.18,33116.3,1260.48,812.1700000000001,15.32,2.93,19725.57,723.47,1339.47
51,17.480000000000004,24.01,31973.13,1248.82,767.8999999999996,15.22,3.1,19233.94,711.62,1328.47
52,17.89,24.26,31960.07,1269.94,815.0199999999995,15.34,2.96,20109.15,731.69,1346.02
53,18.39,24.52,32123.45,1297.53,871.4200000000001,15.46,3.14,21207.02,751.98,1363.45
54,18.310000000000002,24.49,33482.05,1293.01,852.5500000000002,15.42,3.11,21180.82,752.14,1361.39
55,18.450000000000003,24.55,31516.27,1303.82,864.6599999999999,15.49,2.82,21500.16,758.75,1367.45
56,17.89,24.18,30946.25,1272.16,769.8299999999999,15.25,2.91,20535.33,735.67,1345.15
57,17.71,24.09,33044.4,1263.55,739.1999999999998,15.25,3.05,20438.95,730.73,1339.91
58,17.47,23.94,31177.61,1249.28,683.5900000000001,15.12,2.99,20162.49,724.09,1327.0
59,17.450000000000003,23.95,32198.57,1254.04,681.7299999999996,15.12,3.0,20218.49,724.96,1328.22
