,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,10.0,3.23,3356.95,93.77,1724.58,8.26,11.71,277.19,31.14,74.94,32.2,16.0,0.019999999999999574,-0.020000000000000018,-1316.87,-0.0799999999999983,-2.849999999999909,-0.16999999999999993,-0.5200000000000014,-3.3500000000000227,-0.07000000000000028,-0.030000000000001137,0.0,0.0
1,10.02,3.21,2040.08,93.69,1721.73,8.09,11.19,273.84,31.07,74.91,32.2,16.0,0.05999999999999961,-0.004999999999999893,-721.5349999999999,0.125,0.49500000000000455,-0.09499999999999975,-0.16000000000000014,-0.5200000000000102,-0.054999999999999716,0.05000000000000426,0.04999999999999716,0.0
2,10.12,3.22,1913.88,94.02,1725.57,8.07,11.39,276.15,31.03,75.04,32.3,16.0,0.1299999999999999,0.0050000000000001155,-38.819999999999936,0.7950000000000017,-0.055000000000063665,-0.01499999999999968,0.08000000000000007,2.094999999999999,0.08499999999999908,0.14500000000000313,0.04999999999999716,0.0
3,10.28,3.22,1962.44,95.28,1721.62,8.06,11.35,278.03,31.24,75.2,32.3,16.0,0.1750000000000007,0.0,-27.44500000000005,2.4250000000000043,3.1100000000000136,0.03000000000000025,-0.010000000000000675,3.0400000000000205,0.48499999999999943,0.5649999999999977,-0.04999999999999716,0.0
4,10.47,3.22,1858.99,98.87,1731.79,8.13,11.37,282.23,32.0,76.17,32.2,16.0,0.10000000000000053,0.0,-5.6299999999999955,1.769999999999996,-2.5049999999999955,0.01499999999999968,0.04999999999999982,1.6950000000000216,0.1750000000000007,0.6400000000000006,-0.04999999999999716,0.0
5,10.48,3.22,1951.18,98.82,1716.61,8.09,11.45,281.42,31.59,76.48,32.2,16.0,0.040000000000000036,0.0,17.61500000000001,0.259999999999998,-9.764999999999986,-0.015000000000000568,0.020000000000000462,-0.9000000000000057,-0.15499999999999936,0.4299999999999997,0.04999999999999716,0.0
6,10.55,3.22,1894.22,99.39,1712.26,8.1,11.41,280.43,31.69,77.03,32.3,16.0,0.054999999999999716,0.004999999999999893,-6.19500000000005,0.740000000000002,-1.9849999999999,-0.009999999999999787,-0.034999999999999254,1.2099999999999795,0.10500000000000043,0.48499999999999943,0.04999999999999716,0.0
7,10.59,3.23,1938.79,100.3,1712.64,8.07,11.38,283.84,31.8,77.45,32.3,16.0,0.04999999999999982,0.004999999999999893,-2.550000000000068,0.5300000000000011,1.9600000000000364,-0.009999999999999787,-0.025000000000000355,1.625,0.22999999999999865,0.519999999999996,0.0,0.0
8,10.65,3.23,1889.12,100.45,1716.18,8.08,11.36,283.68,32.15,78.07,32.3,16.0,0.03000000000000025,0.0,1.8550000000000182,0.3400000000000034,1.6499999999999773,0.040000000000000036,0.040000000000000036,0.4200000000000159,0.3149999999999995,0.5399999999999991,0.0,0.0
9,10.65,3.23,1942.5,100.98,1715.94,8.15,11.46,284.68,32.43,78.53,32.3,16.0,0.07500000000000018,0.0,-21.864999999999895,0.884999999999998,10.414999999999964,-0.004999999999999893,-0.009999999999999787,6.139999999999986,0.5399999999999991,0.7800000000000011,0.0,0.0
10,10.8,3.23,1845.39,102.22,1737.01,8.07,11.34,295.96,33.23,79.63,32.3,16.0,0.054999999999999716,0.0050000000000001155,-15.519999999999982,0.6749999999999972,2.6000000000000227,-0.0600000000000005,-0.07500000000000018,2.280000000000001,0.35999999999999943,0.4799999999999969,0.0,0.0
11,10.76,3.24,1911.46,102.33,1721.14,8.03,11.31,289.24,33.15,79.49,32.3,16.0,-0.025000000000000355,0.0050000000000001155,24.164999999999964,-0.10499999999999687,-11.235000000000014,-0.025000000000000355,-0.03000000000000025,-4.344999999999999,-0.2049999999999983,-0.030000000000001137,0.0,0.0
