,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,11.1,10.54,2550496.75,360.0,1330.67,13.48,14.73,992.94,180.84,361.29
1,11.0,10.5,8466.99,359.92,1333.14,6.96,0.0,1017.28,183.18,360.3
2,11.07,10.49,8373.08,360.89,1333.09,6.87,0.0,1018.89,184.52,361.07
3,11.12,10.52,8577.15,363.13,1333.23,6.86,0.0,1026.96,186.45,365.32
4,11.31,10.54,8585.81,370.48,1333.23,6.84,0.4,1040.74,188.27,370.77
5,11.49,10.59,8287.45,377.21,1334.21,6.82,0.0,1058.58,189.05,378.86
6,11.76,10.59,8742.28,381.8,1335.18,6.83,0.0,1063.67,190.58,389.34
7,12.01,10.62,9011.63,387.8,1333.91,6.86,0.0,1072.37,193.24,398.13
8,12.31,10.67,9262.23,396.57,1335.22,6.86,0.34,1076.25,197.82,410.91
9,12.65,10.7,9450.99,403.53,1336.8,6.86,0.0,1095.32,200.38,423.24
10,12.97,10.74,9774.57,412.14,1337.91,6.87,0.39,1107.53,203.07,434.74
11,13.34,10.8,9932.99,422.86,1339.17,6.83,0.0,1103.31,206.65,447.58
12,13.67,10.77,10223.52,431.22,1339.87,6.88,0.0,1119.17,209.29,461.32
13,14.03,10.87,10701.24,440.43,1342.4,6.87,0.0,1126.19,211.0,474.41
14,14.41,10.91,10688.44,449.41,1343.33,6.89,0.0,1113.66,213.7,487.95
15,14.76,10.96,11222.83,455.95,1345.29,6.87,0.61,1123.23,216.47,502.35
16,15.16,11.03,11150.73,464.33,1348.9,6.87,0.0,1130.73,219.24,514.84
17,15.45,11.08,11251.62,473.26,1349.71,6.85,0.0,1125.8,222.5,527.93
18,15.83,11.12,11506.03,479.95,1352.45,6.96,0.48,1137.89,226.04,542.7
19,16.21,11.16,11565.87,487.58,1354.16,6.94,0.3,1127.07,226.2,555.54
20,16.52,11.18,12005.92,493.42,1355.6,6.96,0.38,1133.58,228.06,566.25
21,16.81,11.25,12094.7,499.86,1358.59,6.94,0.72,1132.23,232.6,577.94
22,17.17,11.28,12206.61,502.93,1358.95,6.99,0.0,1131.1,235.26,589.67
23,17.5,11.33,12329.69,508.73,1361.23,6.97,0.63,1132.71,236.33,600.09
24,17.72,11.35,12424.36,514.32,1364.25,6.97,0.65,1148.9,237.83,610.66
25,17.86,11.31,12779.22,509.63,1346.86,6.98,1.05,1105.09,236.01,612.87
26,18.06,11.31,12722.5,509.83,1343.32,6.95,0.85,1104.82,235.72,619.85
27,18.28,11.35,12929.16,515.33,1346.1,6.96,0.76,1107.06,237.58,630.53
28,18.68,11.43,13300.08,527.98,1371.19,7.03,0.58,1136.83,243.33,648.18
29,18.82,11.45,13535.7,530.43,1372.28,7.05,0.7,1126.99,243.96,656.69
30,19.09,11.46,13504.93,532.08,1372.48,7.02,0.71,1123.72,245.73,665.35
31,19.21,11.49,13379.34,531.91,1374.18,7.03,0.76,1122.38,245.46,672.29
32,19.35,11.49,13296.97,533.73,1373.03,7.04,0.57,1109.67,245.93,677.31
33,19.47,11.52,13749.08,535.06,1373.37,7.01,0.41,1113.97,247.33,683.44
34,19.7,11.55,13782.87,538.34,1376.43,7.05,0.49,1122.83,248.07,690.35
35,19.91,11.56,13784.32,540.04,1376.4,7.02,0.0,1120.7,248.12,695.67
36,19.97,11.6,13846.26,541.36,1375.5,7.04,0.0,1120.73,248.77,702.43
37,20.06,11.63,13819.38,543.2,1377.29,7.05,0.0,1123.53,248.68,708.95
38,20.2,11.65,13857.0,545.37,1379.86,7.03,0.66,1118.32,249.45,712.66
39,20.27,11.67,13992.33,544.98,1382.03,7.08,0.0,1122.15,250.35,715.18
40,20.33,11.71,14107.13,545.53,1381.78,7.06,0.0,1112.3,249.99,718.97
41,20.39,11.68,14322.35,545.51,1383.09,7.07,0.65,1109.66,249.97,723.44
42,20.45,11.71,14125.04,544.98,1384.45,7.05,0.56,1111.82,249.56,725.81
43,20.51,11.72,14115.87,544.83,1385.68,7.05,0.73,1112.99,250.55,727.74
44,20.56,11.73,13921.56,545.74,1387.02,7.08,0.8,1104.95,251.22,730.21
45,20.62,11.73,13670.83,545.76,1390.57,7.06,0.34,1119.33,251.35,732.29
46,20.64,11.75,13849.07,543.77,1393.2,7.08,0.31,1122.39,251.21,735.71
47,20.64,11.78,13974.28,544.01,1395.87,7.08,0.56,1110.28,251.24,737.72
48,20.67,11.79,13863.57,542.7,1393.17,7.08,0.44,1120.03,250.82,738.6
49,20.67,11.77,13770.47,541.47,1396.96,7.08,0.35,1128.11,251.05,739.82
50,20.68,11.82,14306.07,539.9,1397.12,7.08,1.47,1095.29,250.72,741.05
51,20.68,11.82,14100.96,538.8,1397.56,7.1,1.06,1097.8,251.19,742.15
