,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,0.0,0.0,173.84,0.0,0.0,4.92,8.65,0.0,0.0,0.0
1,0.0,0.0,6.38,0.0,0.0,0.36,1.21,0.0,0.0,0.0
2,0.0,0.0,5.36,0.0,0.0,0.25,0.89,0.0,0.0,0.0
3,0.0,0.0,4.82,0.0,0.0,0.22,0.84,0.0,0.0,0.0
4,0.0,0.0,4.8,0.0,0.0,0.21,0.81,0.0,0.0,0.0
5,0.0,0.0,4.69,0.0,0.0,0.21,0.8,0.0,0.0,0.0
6,0.0,0.0,4.65,0.0,0.0,0.2,0.79,0.0,0.0,0.0
7,0.0,0.0,4.59,0.0,0.0,0.2,0.78,0.0,0.0,0.0
8,0.0,0.0,4.58,0.0,0.0,0.2,0.77,0.0,0.0,0.0
9,0.0,0.0,4.58,0.0,0.0,0.19,0.76,0.0,0.0,0.0
