,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
0,11.84,7.59,83140.45,363.17,1355.83,12.25,3.32,928.41,104.86,459.4
1,11.76,7.76,6763.78,367.57,1366.1,7.19,0.62,980.27,103.22,460.7
2,11.85,7.78,6706.4,368.04,1363.71,7.03,0.0,996.47,103.53,461.22
3,11.92,7.8,6891.48,369.54,1364.26,6.97,0.0,998.85,104.36,462.64
4,11.95,7.82,6785.05,371.59,1365.3,6.97,0.0,993.12,104.32,464.58
5,11.99,7.84,6911.03,372.98,1365.34,6.98,0.0,999.37,104.8,466.14
6,11.97,7.83,6959.26,372.51,1366.09,6.98,0.0,1000.0,105.07,467.28
7,12.05,7.86,6850.92,375.27,1366.11,6.95,0.0,1003.8,105.94,469.66
8,12.06,7.88,6702.66,375.6,1365.72,7.01,0.0,992.79,106.43,470.97
9,12.08,7.9,6825.09,377.3,1366.86,6.96,0.0,1012.99,106.91,472.97
10,12.11,7.89,6966.58,379.08,1365.86,6.96,0.0,994.23,107.17,474.81
11,12.14,7.91,6928.78,380.53,1364.86,6.95,0.0,1008.83,108.24,476.51
12,12.12,7.88,7034.3,382.36,1367.56,6.96,0.0,1005.36,107.63,478.57
13,12.14,7.87,7078.15,382.69,1364.05,6.97,0.0,999.77,108.5,479.79
14,12.15,7.86,7390.74,383.63,1363.35,6.97,0.0,992.33,108.23,480.42
15,12.15,7.9,7355.6,385.2,1364.53,6.97,0.0,1006.77,108.33,481.6
16,12.17,7.9,7303.9,386.72,1362.86,6.97,0.0,995.01,108.59,481.62
17,12.17,7.91,7462.04,388.09,1362.32,6.94,0.0,998.14,109.18,484.31
18,12.09,7.85,7369.53,379.25,1332.59,6.88,0.0,959.74,106.31,474.99
19,11.99,7.81,7263.97,376.36,1323.63,6.85,0.0,953.65,105.44,473.38
20,12.01,7.81,7191.49,376.71,1325.62,6.85,0.0,963.87,105.64,474.62
21,12.05,7.86,7154.22,379.83,1327.31,6.85,0.0,965.32,106.4,476.77
22,12.07,7.87,7228.16,380.89,1326.24,6.83,0.44,955.02,106.41,477.85
23,12.06,7.84,7331.89,380.83,1328.18,6.84,0.39,967.21,107.22,478.48
24,12.07,7.85,7386.71,381.66,1327.9,6.83,0.0,951.44,107.43,479.48
25,12.07,7.88,7196.59,382.85,1327.76,6.84,0.0,967.06,107.18,480.11
26,12.06,7.9,6775.15,383.52,1330.45,6.82,0.0,970.94,108.0,481.17
27,12.11,7.88,6987.34,384.4,1331.27,6.85,0.0,957.1,107.85,482.9
28,12.12,7.91,6955.7,385.18,1331.54,6.85,0.0,975.71,108.26,483.1
29,12.13,7.9,7021.7,385.88,1332.89,6.83,0.0,978.81,108.06,484.32
30,12.13,7.92,6905.45,386.45,1334.56,6.83,0.0,964.81,108.17,485.11
31,12.11,7.89,7145.32,385.52,1332.13,6.82,0.0,976.19,107.98,484.29
32,12.13,7.94,6909.8,386.72,1332.07,6.83,0.0,972.77,108.31,485.22
33,12.1,7.93,7090.79,387.37,1331.81,6.83,0.0,980.15,108.06,485.94
34,12.11,7.94,7308.0,387.81,1332.21,6.86,0.39,982.2,108.25,486.53
35,12.11,7.92,7409.02,388.29,1332.89,6.85,0.0,977.17,108.87,486.91
36,12.14,7.95,7190.35,388.23,1330.85,6.84,0.0,968.97,108.71,487.15
37,12.11,7.91,7059.67,388.29,1334.27,6.84,0.0,964.44,108.93,487.59
38,12.11,7.96,6972.97,388.45,1332.57,6.8,0.0,961.65,108.22,487.74
39,12.12,7.94,7174.75,388.74,1339.9,6.82,0.0,972.13,108.3,488.69
40,12.08,7.93,7151.23,388.39,1331.95,6.84,0.0,961.06,108.34,488.14
41,12.13,7.96,6876.95,389.11,1333.48,6.82,0.0,969.44,108.56,488.74
42,12.11,7.97,6986.02,388.96,1333.43,6.83,0.0,965.92,108.4,489.13
43,12.19,8.0,6877.61,397.6,1357.01,6.92,0.0,980.78,110.72,496.93
44,12.24,8.03,7168.02,402.37,1366.76,6.95,0.0,1012.63,111.87,501.35
45,12.22,8.06,7012.08,401.9,1369.67,6.95,0.0,999.68,111.76,501.17
46,12.24,8.03,7238.17,400.63,1366.67,6.93,0.0,1005.34,111.9,501.12
47,12.2,8.05,7224.64,401.41,1368.18,6.94,0.0,999.3,111.35,500.89
48,12.18,8.03,7415.04,401.44,1367.36,6.95,0.0,993.66,111.39,501.51
49,12.16,8.04,7394.56,401.63,1369.83,6.98,0.0,989.42,111.62,501.84
50,12.26,8.08,7390.1,402.07,1370.99,6.98,0.66,1011.27,112.2,501.95
51,12.21,8.06,6972.76,402.07,1370.48,6.96,0.0,999.89,112.23,502.19
52,12.14,8.01,6498.59,396.8,1361.31,6.95,0.0,970.99,109.79,499.99
53,12.2,8.04,7378.46,400.42,1368.62,6.96,0.0,999.09,111.28,500.98
54,12.22,8.05,7355.28,402.12,1371.02,6.95,0.46,1006.61,112.25,504.05
55,12.2,8.07,7310.29,402.31,1373.56,6.94,0.33,1032.09,112.1,503.76
56,12.25,8.06,7067.8,402.31,1376.53,6.93,0.51,1014.21,112.55,503.78
57,12.2,8.08,7261.78,402.71,1378.08,6.96,0.0,999.45,112.53,503.53
58,12.22,8.06,7343.85,402.57,1376.55,6.93,0.47,1024.53,113.17,505.8
59,12.28,8.05,6953.86,402.66,1378.0,6.98,0.0,1013.1,112.71,505.36
60,12.26,8.07,6873.56,402.94,1379.39,6.98,0.0,1016.66,112.74,506.38
61,12.27,8.08,6738.42,403.92,1378.97,7.01,0.0,1011.46,113.25,507.73
62,12.26,8.09,6475.84,403.54,1381.07,7.01,0.0,1007.57,113.17,507.52
63,12.16,8.04,7004.86,396.12,1357.41,6.94,0.0,1001.79,109.83,499.7
64,12.16,8.03,7416.75,395.43,1353.63,6.94,0.0,997.25,109.51,499.26
65,12.18,8.04,7331.88,394.48,1354.82,6.91,0.0,992.54,109.61,499.94
66,12.17,8.04,7284.93,397.29,1362.52,6.95,0.0,1007.39,110.55,501.92
67,12.18,8.07,7506.49,396.22,1359.47,6.94,0.0,1009.24,110.28,500.96
68,12.21,8.05,7405.4,400.82,1377.67,7.01,0.0,1004.23,111.94,505.97
69,12.16,8.04,7465.5,396.27,1359.69,6.97,0.37,995.65,111.05,501.75
70,12.14,8.04,7470.37,396.09,1359.92,6.94,0.0,994.67,110.13,501.1
71,12.16,8.03,7522.51,395.26,1356.89,6.95,0.35,994.29,110.5,499.87
72,12.17,8.02,7106.43,393.93,1353.28,6.89,0.0,986.19,110.03,499.78
73,12.14,8.03,7187.46,393.42,1353.28,6.91,0.37,997.05,109.37,498.69
74,12.17,8.04,7337.75,394.61,1355.4,6.9,0.0,993.28,109.87,499.83
75,12.15,8.02,7229.56,392.95,1351.53,6.87,0.0,990.28,109.98,498.65
76,12.15,8.02,7149.36,393.29,1356.75,6.86,0.0,1006.91,110.25,498.87
77,12.14,8.05,7206.82,392.74,1352.71,6.9,0.51,994.51,110.02,498.3
78,12.15,8.01,7064.52,392.91,1353.66,6.91,0.0,989.78,109.54,498.63
79,12.11,8.01,7070.66,392.91,1354.66,6.95,0.41,1001.96,109.51,498.9
80,12.12,8.04,7131.98,393.16,1353.83,6.88,0.0,984.65,109.27,499.07
81,12.14,8.04,7152.56,392.1,1354.28,6.88,0.0,979.53,109.23,498.13
82,12.11,8.02,7057.07,391.07,1351.27,6.87,0.0,984.57,109.12,497.38
83,12.1,8.0,7055.76,388.99,1343.44,6.84,0.0,992.91,109.2,496.04
84,12.09,8.0,6982.25,388.74,1342.19,6.87,0.0,973.57,108.98,496.29
85,12.08,8.01,7292.96,388.34,1343.77,6.85,0.0,971.51,108.75,494.9
86,12.07,8.01,7082.07,387.6,1342.31,6.88,0.0,977.16,109.04,494.22
87,12.08,8.01,7112.04,388.06,1338.27,6.85,0.0,968.57,109.37,494.12
88,12.05,7.99,7207.77,386.77,1340.39,6.87,0.0,956.13,109.04,493.54
89,12.09,8.01,6909.64,387.49,1342.4,6.84,0.0,982.28,109.19,494.07
90,12.06,8.01,7154.01,387.16,1340.52,6.88,0.0,969.44,109.04,494.06
