,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,9.620000000000001,17.13,15824.38,1047.88,1290.35,10.42,13.92,12732.61,452.04,924.99
31,9.95,17.14,15932.88,1050.3,1293.19,10.94,2.38,12741.86,449.46,943.76
32,11.629999999999999,17.23,16090.17,1063.68,1301.0900000000001,10.87,1.88,12907.74,457.72,988.98
33,12.809999999999999,17.23,15778.79,1067.31,1278.0900000000001,10.7,2.18,12735.05,458.53,995.18
34,13.559999999999999,17.29,15749.41,1069.45,1271.35,10.7,2.5,12817.22,461.96,996.93
35,14.09,17.34,15906.46,1069.89,1264.2800000000002,10.81,2.6,12764.01,461.52,991.28
36,14.669999999999998,17.38,15861.27,1072.19,1258.5700000000002,10.84,1.97,12815.32,462.63,987.64
37,14.95,17.47,16005.32,1071.39,1257.38,10.91,2.05,12894.47,461.71,984.07
38,15.23,17.49,15932.48,1069.53,1256.19,10.79,2.35,12891.05,461.16,979.35
39,15.45,17.51,16234.33,1074.24,1258.6100000000001,10.66,2.2,12931.09,462.04,974.92
40,15.5,17.5,16163.06,1077.75,1246.7800000000002,10.75,2.17,12938.87,460.27,969.92
41,15.599999999999998,17.48,16105.78,1076.95,1241.6599999999999,10.76,2.49,12866.49,458.9,961.41
42,16.07,17.49,15925.48,1083.46,1231.17,10.85,2.11,12828.54,455.11,955.88
43,17.28,17.53,15982.83,1110.3,1235.9,10.82,2.15,12827.7,453.71,950.31
44,18.73,17.64,16101.67,1123.43,1234.0,10.77,2.4,12828.84,453.46,956.64
45,20.150000000000002,17.64,16005.12,1126.81,1231.65,10.78,2.23,12973.76,453.93,967.8
46,21.279999999999998,17.61,15884.94,1129.63,1219.38,10.79,2.1,12843.88,450.29,974.55
47,22.24,17.64,15959.97,1131.17,1214.33,10.64,2.45,12853.67,450.49,983.07
48,22.919999999999998,17.59,15921.92,1128.44,1209.3000000000002,10.54,2.33,12876.58,448.99,989.42
49,23.69,17.66,16310.99,1129.9,1209.3400000000001,10.6,2.42,13012.46,452.78,997.44
50,24.31,17.71,16680.26,1130.16,1209.2600000000002,10.69,2.54,13276.13,456.54,1006.01
51,24.709999999999997,17.69,16748.22,1124.75,1201.5900000000001,10.69,2.23,13371.45,458.43,1010.17
52,25.150000000000002,17.6,16514.02,1121.68,1185.6799999999998,10.69,2.18,13303.67,454.48,1014.91
53,25.49,17.52,16237.33,1119.76,1176.2800000000002,10.64,2.47,13303.76,454.39,1018.39
54,25.679999999999996,17.52,16366.53,1112.02,1168.7199999999998,10.67,2.22,13303.64,451.73,1022.26
55,25.8,17.5,16309.86,1103.17,1159.02,10.74,2.2,13241.35,449.82,1026.77
56,25.860000000000003,17.36,15927.23,1085.75,1134.1399999999999,10.61,2.14,12979.65,442.24,1024.78
57,26.09,17.28,15996.93,1080.91,1125.6599999999999,10.7,2.06,12927.27,442.83,1028.48
58,26.19,17.22,15868.04,1073.8,1119.6100000000001,10.69,2.1,13045.12,441.85,1031.76
59,26.3,17.23,15973.38,1073.59,1119.4299999999998,10.61,2.24,13058.58,443.8,1043.46
