,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,9.560000000000002,25.02,26174.97,1481.15,467.34000000000015,14.86,20.99,22479.0,801.29,1380.4
31,9.579999999999998,24.93,26149.51,1469.9,458.3000000000002,14.59,3.81,22383.86,797.45,1375.02
32,10.020000000000003,24.96,26148.33,1475.76,462.52999999999975,14.81,3.74,22460.6,799.81,1378.72
33,10.75,25.01,26609.64,1485.72,467.3699999999999,14.83,3.87,22565.33,802.34,1391.09
34,11.050000000000004,24.81,26035.15,1468.65,440.09999999999945,14.8,3.66,22399.64,797.61,1387.32
35,11.620000000000005,24.84,26319.01,1472.03,437.5100000000002,14.82,3.63,22466.5,800.23,1394.08
36,11.899999999999999,24.66,25906.85,1455.76,393.84000000000015,14.82,3.51,22321.35,796.53,1388.16
37,12.520000000000003,24.73,26585.7,1464.52,402.90999999999985,14.8,3.88,22605.46,801.09,1401.51
38,12.64,24.55,25832.63,1445.12,372.34999999999945,14.8,3.61,22310.42,787.69,1390.86
39,12.93,24.47,25723.43,1438.09,341.09000000000015,14.68,3.7,22365.17,781.72,1389.36
40,13.21,24.42,25691.56,1433.68,329.4399999999996,14.6,3.56,22349.51,781.14,1389.19
41,13.219999999999999,24.25,25404.98,1420.58,277.09000000000015,14.56,3.73,22194.42,774.84,1381.92
42,13.340000000000003,24.24,25473.7,1421.74,279.47000000000025,14.6,3.6,22320.74,777.23,1385.63
43,13.64,24.22,25625.35,1424.53,265.0599999999995,14.51,3.48,22319.2,779.99,1390.27
44,13.79,24.17,25565.35,1420.37,236.55000000000018,14.45,3.58,22433.01,776.97,1390.02
45,13.93,24.12,25824.77,1416.85,225.1800000000003,14.44,3.38,22238.11,778.47,1390.62
46,13.89,24.03,25466.33,1409.34,200.52999999999975,14.44,3.47,22224.24,772.09,1385.74
47,14.079999999999998,24.01,25604.99,1409.79,202.77999999999975,14.42,3.45,22193.49,773.44,1390.41
48,14.020000000000003,23.93,25304.72,1403.74,169.34999999999945,14.34,3.4,22117.22,770.87,1385.52
49,14.060000000000002,23.88,25382.04,1401.65,152.1800000000003,14.33,3.47,22158.49,769.91,1386.65
50,14.130000000000003,23.81,25425.17,1398.78,136.1300000000001,14.32,3.45,22099.02,768.95,1386.66
51,14.030000000000001,23.72,25448.85,1389.95,119.47000000000025,14.28,3.66,21969.37,762.59,1381.8
52,13.940000000000005,23.61,25177.65,1379.76,89.84000000000015,14.22,3.67,21958.71,758.89,1374.71
53,13.770000000000003,23.45,24936.47,1365.93,54.43000000000029,14.15,3.54,21565.81,750.13,1364.8
54,13.71,23.37,24824.51,1362.05,34.98999999999978,14.18,3.35,21563.62,747.87,1362.67
55,14.030000000000001,23.49,25390.93,1376.0,45.590000000000146,14.13,3.6,21935.97,755.07,1376.18
56,14.11,23.49,25285.99,1379.38,46.36999999999989,14.16,3.64,22072.28,759.43,1379.46
57,13.89,23.35,24995.19,1369.82,18.019999999999527,14.14,3.55,21800.34,750.62,1373.41
58,13.950000000000003,23.34,25005.23,1369.26,-5.050000000000182,14.1,3.47,21761.27,753.58,1375.53
59,13.829999999999998,23.28,25074.1,1365.75,-14.050000000000182,14.12,3.42,21763.56,750.35,1371.96
