,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,13.58,5.17,1756.24,154.04,1896.59,8.69,11.58,902.87,59.54,126.1,32.7,13.0,-0.16999999999999993,-0.1299999999999999,348.1299999999999,-4.069999999999993,-22.6099999999999,-0.25,-0.7799999999999994,-63.39999999999998,-2.3500000000000014,-2.3900000000000006,0.0,1.0
1,13.41,5.04,2104.37,149.97,1873.98,8.44,10.8,839.47,57.19,123.71,32.7,14.0,-0.040000000000000036,-0.10000000000000009,122.18999999999994,-2.4399999999999977,-22.84999999999991,-0.16999999999999993,-0.20500000000000007,-44.56999999999999,-1.9299999999999997,-2.1199999999999974,0.0,0.5
2,13.5,4.97,2000.62,149.16,1850.89,8.35,11.17,813.73,55.68,121.86,32.7,14.0,0.3049999999999997,0.04999999999999982,-289.0849999999999,5.760000000000005,9.934999999999945,0.0,0.25,24.810000000000002,1.0950000000000024,3.07500000000001,-0.05000000000000071,-1.0
3,14.02,5.14,1526.2,161.49,1893.85,8.44,11.3,889.09,59.38,129.86,32.6,12.0,0.3250000000000002,0.08000000000000007,-302.56999999999994,7.390000000000001,23.979999999999905,0.055000000000000604,0.08499999999999996,37.65499999999997,1.7950000000000017,5.214999999999996,-0.05000000000000071,-1.0
4,14.15,5.13,1395.48,163.94,1898.85,8.46,11.34,889.04,59.27,132.29,32.6,12.0,0.08999999999999986,-0.01499999999999968,-53.254999999999995,2.239999999999995,0.49500000000000455,0.004999999999999893,0.024999999999999467,-8.840000000000032,0.09499999999999886,1.3249999999999886,0.0,0.0
5,14.2,5.11,1419.69,165.97,1894.84,8.45,11.35,871.41,59.57,132.51,32.6,12.0,0.09499999999999975,-0.020000000000000018,14.240000000000009,2.135000000000005,-2.259999999999991,0.024999999999999467,0.025000000000000355,-6.164999999999964,0.16499999999999915,0.42499999999999716,0.0,0.0
6,14.34,5.09,1423.96,168.21,1894.33,8.51,11.39,876.71,59.6,133.14,32.6,12.0,0.10000000000000053,-0.010000000000000231,-3.1499999999999773,1.0849999999999937,1.2649999999999864,0.005000000000000782,0.025000000000000355,-1.849999999999966,0.019999999999999574,0.5100000000000051,0.05000000000000071,1.0
7,14.4,5.09,1413.39,168.14,1897.37,8.46,11.4,867.71,59.61,133.53,32.7,14.0,0.07000000000000028,0.0,-11.534999999999968,1.0600000000000023,5.8799999999999955,-0.019999999999999574,-0.015000000000000568,-4.390000000000043,0.25,0.6950000000000074,0.05000000000000071,1.0
8,14.48,5.09,1400.89,170.33,1906.09,8.47,11.36,867.93,60.1,134.53,32.7,14.0,0.054999999999999716,0.004999999999999893,-30.795000000000073,1.6100000000000136,6.550000000000068,0.004999999999999893,-0.025000000000000355,2.490000000000009,0.2950000000000017,0.8100000000000023,0.0,-0.5
9,14.51,5.1,1351.8,171.36,1910.47,8.47,11.35,872.69,60.2,135.15,32.7,13.0,0.04499999999999993,0.004999999999999893,55.25999999999999,0.9649999999999892,1.9950000000000045,0.01499999999999968,0.040000000000000036,1.6400000000000432,0.11499999999999844,0.7349999999999994,0.0,-0.5
10,14.57,5.1,1511.41,172.26,1910.08,8.5,11.44,871.21,60.33,136.0,32.7,13.0,0.04499999999999993,0.010000000000000231,93.31000000000006,1.2749999999999915,2.3600000000000136,0.009999999999999787,0.004999999999999893,1.5599999999999454,0.3349999999999973,0.7950000000000017,0.0,0.5
11,14.6,5.12,1538.42,173.91,1915.19,8.49,11.36,875.81,60.87,136.74,32.7,14.0,0.03500000000000014,0.015000000000000124,19.479999999999905,1.75,5.644999999999982,0.0,-0.004999999999999893,11.310000000000002,0.5199999999999996,1.0799999999999983,0.0,0.5
12,14.64,5.13,1550.37,175.76,1921.37,8.5,11.43,893.83,61.37,138.16,32.7,14.0,0.020000000000000462,0.009999999999999787,-2.910000000000082,1.2450000000000045,4.730000000000018,0.01499999999999968,0.03000000000000025,3.525000000000034,0.3200000000000003,1.1299999999999955,0.04999999999999716,0.0
13,14.64,5.14,1532.6,176.4,1924.65,8.52,11.42,882.86,61.51,139.0,32.8,14.0,0.0,0.004999999999999893,-13.839999999999918,0.45000000000000284,-0.1049999999999045,0.01499999999999968,0.025000000000000355,-3.7200000000000273,-0.03500000000000014,0.6400000000000006,0.04999999999999716,0.0
14,14.64,5.14,1522.69,176.66,1921.16,8.53,11.48,886.39,61.3,139.44,32.8,14.0,0.01499999999999968,0.0,-24.604999999999905,0.5249999999999915,-1.0550000000000637,0.0,0.01499999999999968,-1.4950000000000045,0.09500000000000242,0.5949999999999989,0.0,0.0
15,14.67,5.14,1483.39,177.45,1922.54,8.52,11.45,879.87,61.7,140.19,32.8,14.0,0.024999999999999467,0.0,-1.1299999999999955,1.1350000000000051,-1.0400000000000773,0.0,-0.03500000000000014,-2.0500000000000114,0.20500000000000185,1.0450000000000017,0.0,0.0
16,14.69,5.14,1520.43,178.93,1919.08,8.53,11.41,882.29,61.71,141.53,32.8,14.0,0.009999999999999787,-0.004999999999999893,14.625,0.6850000000000023,0.5800000000000409,0.0,0.015000000000000568,0.7300000000000182,-0.08999999999999986,0.6599999999999966,0.0,0.0
17,14.69,5.13,1512.64,178.82,1923.7,8.52,11.48,881.33,61.52,141.51,32.8,14.0,0.0,0.0,3.769999999999982,0.16499999999999204,1.6900000000000546,-0.004999999999999893,0.054999999999999716,-5.1749999999999545,0.120000000000001,0.3199999999999932,0.0,0.0
18,14.69,5.14,1527.97,179.26,1922.46,8.52,11.52,871.94,61.95,142.17,32.8,14.0,0.020000000000000462,-0.009999999999999787,39.58499999999992,0.7400000000000091,-5.540000000000077,-0.01499999999999968,0.0,1.169999999999959,-0.05500000000000327,0.9000000000000057,0.0,0.0
