,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,8.85,3.23,224.93,96.74,1557.58,7.8,11.26,746.73,56.99,114.11,,,0.17999999999999972,0.010000000000000231,-1.5500000000000114,-0.5099999999999909,-6.1599999999998545,-0.09999999999999964,-0.4900000000000002,19.230000000000018,1.8999999999999986,1.480000000000004,,
1,9.03,3.24,223.38,96.23,1551.42,7.7,10.77,765.96,58.89,115.59,,,0.2450000000000001,0.010000000000000009,-0.5450000000000017,0.6400000000000006,-2.8799999999999955,-0.06999999999999984,-0.16000000000000014,-19.860000000000014,-0.870000000000001,-0.29999999999999716,,
2,9.34,3.25,223.84,98.02,1551.82,7.66,10.94,707.01,55.25,113.51,32.8,16.0,0.3799999999999999,0.004999999999999893,2.4450000000000074,1.394999999999996,1.7300000000000182,-0.02499999999999991,0.08499999999999996,-37.92500000000001,-2.344999999999999,-0.5900000000000034,,
3,9.79,3.25,228.27,99.02,1554.88,7.65,10.94,690.11,54.2,114.41,32.8,16.0,0.4400000000000004,-0.004999999999999893,0.6400000000000006,0.8400000000000034,-2.5799999999999272,-0.02499999999999991,-0.02999999999999936,-15.855000000000018,-0.7699999999999996,0.7449999999999974,0.05000000000000071,0.0
4,10.22,3.24,225.12,99.7,1546.66,7.61,10.88,675.3,53.71,115.0,32.9,16.0,0.47000000000000064,0.0,-1.3299999999999983,0.6799999999999997,0.8349999999999227,0.02499999999999991,0.03500000000000014,-7.944999999999993,-0.054999999999999716,1.6099999999999994,0.05000000000000071,0.0
5,10.73,3.25,225.61,100.38,1556.55,7.7,11.01,674.22,54.09,117.63,32.9,16.0,0.585,0.004999999999999893,1.4549999999999983,0.5249999999999986,5.884999999999991,0.040000000000000036,0.04999999999999982,0.5500000000000114,-0.26000000000000156,2.174999999999997,-0.05000000000000071,0.0
6,11.39,3.25,228.03,100.75,1558.43,7.69,10.98,676.4,53.19,119.35,32.8,16.0,0.6799999999999997,-0.004999999999999893,1.6749999999999972,0.48499999999999943,7.465000000000032,0.009999999999999787,0.009999999999999787,-10.050000000000011,-0.8050000000000033,1.6550000000000011,-0.05000000000000071,0.0
7,12.09,3.24,228.96,101.35,1571.48,7.72,11.03,654.12,52.48,120.94,32.8,16.0,0.7199999999999998,0.0,-0.20999999999999375,1.1400000000000006,11.019999999999982,0.02499999999999991,0.03500000000000014,-4.8700000000000045,-0.0849999999999973,2.6500000000000057,0.0,0.0
8,12.83,3.25,227.61,103.03,1580.47,7.74,11.05,666.66,53.02,124.65,32.8,16.0,0.835,0.039999999999999813,2.3799999999999955,3.1700000000000017,30.08000000000004,0.04499999999999993,0.040000000000000036,21.519999999999982,1.1050000000000004,6.314999999999998,0.0,0.0
9,13.76,3.32,233.72,107.69,1631.64,7.81,11.11,697.16,54.69,133.57,32.8,16.0,0.875,0.03499999999999992,2.8299999999999983,3.0899999999999963,33.98000000000002,0.054999999999999716,0.05999999999999961,16.920000000000016,0.9149999999999991,6.509999999999991,0.05000000000000071,0.0
